"","soil_name","horizon","ca_mqevL","ca_ppm","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","ca_g_cm3","ca_Mg_horizon","ca_Mg_ha"
"1","acadia","0_10",0.88,176,1.4,0.246635757280942,1,58.5,36.4,5.1,2,0.000241472,2.41472e-05,0.241472
"2","acadia","10_20",1.06,212,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.000310596435611283,3.10596435611283e-05,0.310596435611283
"3","acadia","20_40",1.24,248,1.62,0.215883238671701,1,40.9,37.5,21.6,2,0.0003937248,7.874496e-05,0.7874496
"4","acadia","40_100",1.88333333333333,376.666666666667,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,0.000670403888888889,0.000402242333333333,4.02242333333333
"5","albany","0_10",0.648333333333333,129.666666666667,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,0.000207351407407407,2.07351407407407e-05,0.207351407407407
"6","albany","10_20",0.59,118,1.5096443452381,0.210069553241103,0,45.6285714285714,5.97142857142857,2.24285714285714,0,0.000178138032738096,1.78138032738096e-05,0.178138032738096
"7","albany","20_40",0.0977777777777778,19.5555555555556,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,3.30305283950617e-05,6.60610567901235e-06,0.0660610567901235
"8","albany","40_100",0.0849056603773585,16.9811320754717,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,2.96379921680314e-05,1.77827953008188e-05,0.177827953008188
"9","allanton","0_10",0.09,18,1.3509262485482,0.246635757280942,0,21.2,6.2,7.8,0,2.43166724738676e-05,2.43166724738676e-06,0.0243166724738676
"10","allanton","10_20",0.03,6,1.5096443452381,0.210069553241103,0,95.2,6.5,2,0,9.0578660714286e-06,9.0578660714286e-07,0.0090578660714286
"11","allanton","20_40",0.02,4,1.50104635443921,0.215883238671701,0,17.25,8.15,3.05,0,6.00418541775684e-06,1.20083708355137e-06,0.0120083708355137
"12","allanton","40_100",0.024,4.8,1.59451747615447,0.19649269329816,0,68.1,7,2.68,0,7.65368388554146e-06,4.59221033132487e-06,0.0459221033132487
