"","soil_name","horizon","mg_mqevL","mg_ppm","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","mg_g_cm3","mg_Mg_horizon","mg_Mg_ha"
"1","acadia","0_10",0.32,38.4,1.4,0.246635757280942,1,58.5,36.4,5.1,2,5.26848e-05,5.26848e-06,0.0526848
"2","acadia","10_20",0.745,89.4,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.000130977930866267,1.30977930866267e-05,0.130977930866267
"3","acadia","20_40",1.17,140.4,1.62,0.215883238671701,1,40.9,37.5,21.6,2,0.00022289904,4.4579808e-05,0.44579808
"4","acadia","40_100",3.17666666666667,381.2,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,0.000678472466666667,0.00040708348,4.0708348
"5","albany","0_10",0.122777777777778,14.7333333333333,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,2.3560237037037e-05,2.3560237037037e-06,0.023560237037037
"6","albany","10_20",0.0957142857142857,11.4857142857143,1.5096443452381,0.210069553241103,0,45.6285714285714,5.97142857142857,2.24285714285714,0,1.7339343622449e-05,1.7339343622449e-06,0.017339343622449
"7","albany","20_40",0.0394117647058824,4.72941176470588,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,7.98826549019608e-06,1.59765309803922e-06,0.0159765309803922
"8","albany","40_100",0.03,3.6,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,6.28325433962265e-06,3.76995260377359e-06,0.0376995260377359
"9","allanton","0_10",0.09,10.8,1.3509262485482,0.246635757280942,0,21.2,6.2,7.8,0,1.45900034843206e-05,1.45900034843206e-06,0.0145900034843206
"10","allanton","10_20",0.02,2.4,1.5096443452381,0.210069553241103,0,95.2,6.5,2,0,3.62314642857144e-06,3.62314642857144e-07,0.00362314642857144
"11","allanton","20_40",0.02,2.4,1.50104635443921,0.215883238671701,0,17.25,8.15,3.05,0,3.6025112506541e-06,7.20502250130821e-07,0.00720502250130821
"12","allanton","40_100",0.01,1.2,1.59451747615447,0.19649269329816,0,68.1,7,2.68,0,1.91342097138536e-06,1.14805258283122e-06,0.0114805258283122
"13","angelina","0_10",3.96,475.2,1.53,0.246635757280942,1,30.2,40.5,29.3,0,0.000727056,7.27056e-05,0.727056
"14","angelina","10_20",4.835,580.2,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.000850037980856917,8.50037980856917e-05,0.850037980856917
"15","angelina","20_40",5.71,685.2,1.81,0.215883238671701,1,16.6,42.1,41.3,0,0.001240212,0.0002480424,2.480424
"16","angelina","40_100",3.27,392.4,1.69666666666667,0.0550757054728611,3,52.5333333333333,22.9666666666667,24.5,0,0.000665772000000001,0.000399463200000001,3.99463200000001
"17","appling","0_10",0.1,12,1.3509262485482,0.246635757280942,0,65.0666666666667,21.1333333333333,12.6,4,1.55626703832753e-05,1.55626703832753e-06,0.0155626703832753
"18","appling","10_20",0.925,111,1.5096443452381,0.210069553241103,0,31.175,38.425,15.125,0,0.000167570522321429,1.67570522321429e-05,0.167570522321429
"19","appling","20_40",0.55,66,1.50104635443921,0.215883238671701,0,36.8,20.6,42.6,0,9.90690593929879e-05,1.98138118785976e-05,0.198138118785976
"20","appling","40_100",0.50625,60.75,1.31,0.19649269329816,1,42.0181818181818,25.5,32.9090909090909,2.72727272727273,7.74120681818182e-05,4.64472409090909e-05,0.464472409090909
"21","arkana","0_10",3.35,402,1.3509262485482,0.246635757280942,0,26.26875,54.1375,19.6,0,0.000543072351916376,5.43072351916376e-05,0.543072351916376
"22","arkana","10_20",4.22857142857143,507.428571428571,1.5096443452381,0.210069553241103,0,26.5285714285714,49.4571428571429,24.0142857142857,0,0.00076603667346939,7.6603667346939e-05,0.76603667346939
"23","arkana","20_40",6.78947368421053,814.736842105263,1.50104635443921,0.215883238671701,0,19.9578947368421,39.3421052631579,40.6947368421053,0,0.00122295776666942,0.000244591553333884,2.44591553333884
"24","arkana","40_100",13.2702702702703,1592.43243243243,1.59451747615447,0.19649269329816,0,11.5108108108108,26.2378378378378,62.2378378378378,0,0.00253916134310869,0.00152349680586521,15.2349680586521
"25","ashe","0_10",1.53333333333333,184,1.26,0.246635757280942,1,48.7666666666667,35.2333333333333,16,6.33333333333333,0.0002171568,2.171568e-05,0.2171568
"26","ashe","10_20",0.67,80.4,1.5096443452381,0.210069553241103,0,49.2,36.75,14.05,2,0.00011894789725,1.1894789725e-05,0.11894789725
"27","ashe","20_40",0.8,96,1.58,0.215883238671701,1,63.5,22.7,13.8,1,0.0001501632,3.003264e-05,0.3003264
"28","ashe","40_100",2.258,270.96,1.79,0.19649269329816,1,59.06,27.64,13.3,8,0.000446216928,0.0002677301568,2.677301568
"29","ashlar","0_10",0.11,13.2,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.73770531240156e-05,1.73770531240156e-06,0.0173770531240156
"30","ashlar","10_20",0.11,13.2,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.93390233493818e-05,1.93390233493818e-06,0.0193390233493818
"31","ashlar","20_40",0.11,13.2,1.57,0.215883238671701,1,74.2,20.1,5.7,14,1.782264e-05,3.564528e-06,0.03564528
"32","ashlar","40_100",0.16,19.2,1.55,0.19649269329816,1,75.2,19.4,5.4,30,2.0832e-05,1.24992e-05,0.124992
"33","attoyac","0_10",0.326666666666667,39.2,1.63,0.226274169979695,2,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,6.36830133333333e-05,6.36830133333333e-06,0.0636830133333333
"34","attoyac","10_20",0.355,42.6,1.585,0.134350288425444,2,72.75,24.25,3,1,6.684579e-05,6.684579e-06,0.06684579
"35","attoyac","20_40",0.545,65.4,1.648,0.122351951353462,5,61.2333333333333,30.45,8.31666666666667,0.333333333333333,0.000107419936,2.14839872e-05,0.214839872
"36","attoyac","40_100",1.30090909090909,156.109090909091,1.7775,0.0337003603202442,8,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,0.000276979392892562,0.000166187635735537,1.66187635735537
"37","bayboro","0_10",3.1,372,1.3509262485482,0.246635757280942,0,44.8,20.4,34.8,0,0.00050254456445993,5.0254456445993e-05,0.50254456445993
"38","bayboro","10_20",2.17333333333333,260.8,1.5096443452381,0.210069553241103,0,36,31.2666666666667,32.7333333333333,0,0.000393715245238097,3.93715245238097e-05,0.393715245238097
"39","bayboro","20_40",2.05,246,1.50104635443921,0.215883238671701,0,31.95,32.85,35.2,0,0.000369257403192046,7.38514806384091e-05,0.738514806384091
"40","bayboro","40_100",2.96666666666667,356,1.59451747615447,0.19649269329816,0,26.6666666666667,24.5,48.8333333333333,0,0.000567648221510991,0.000340588932906595,3.40588932906595
"41","beauregard","0_10",0.57,68.4,1.39,0.246635757280942,1,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,9.396678e-05,9.396678e-06,0.09396678
"42","beauregard","10_20",0.448333333333333,53.8,1.6,0.210069553241103,1,36.0666666666667,54.7,9.23333333333333,1,8.52192e-05,8.52192e-06,0.0852192
"43","beauregard","20_40",0.546666666666667,65.6,1.62,0.215883238671701,1,30.8166666666667,52.3666666666667,16.8166666666667,1,0.00010520928,2.1041856e-05,0.21041856
"44","beauregard","40_100",0.784285714285714,94.1142857142857,1.70666666666667,0.0850490054811538,3,27.90625,52.375,19.71875,1.25,0.000158613942857143,9.51683657142859e-05,0.951683657142859
"45","benndale","0_10",0.48,57.6,1.53,0.246635757280942,1,71.4,18.95,9.65,0.5,8.768736e-05,8.768736e-06,0.08768736
"46","benndale","10_20",0.315,37.8,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,5.53799305005023e-05,5.53799305005023e-06,0.0553799305005023
"47","benndale","20_40",0.15,18,1.63,0.215883238671701,1,64.15,20.1,15.75,0,2.934e-05,5.868e-06,0.05868
"48","benndale","40_100",0.162,19.44,1.69,0.0173205080756888,3,69.12,17.16,13.72,0.6,3.26564784e-05,1.959388704e-05,0.1959388704
"49","bernaldo","0_10",0.78,93.6,1.3509262485482,0.246635757280942,0,62.0666666666667,35.5,2.43333333333333,0,0.000126446696864112,1.26446696864112e-05,0.126446696864112
"50","bernaldo","10_20",0.5,60,1.44,0.210069553241103,1,52.3,42.1,5.6,0,8.64e-05,8.64e-06,0.0864
"51","bernaldo","20_40",0.385,46.2,1.51,0.0800000000000001,3,56.625,37.875,5.5,0,6.9762e-05,1.39524e-05,0.139524
"52","bernaldo","40_100",1.77428571428571,212.914285714286,1.67142857142857,0.0817370930542087,7,41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,0.000355362633236151,0.000213217579941691,2.13217579941691
"53","besner","0_10",0.2,24,1.24,0.246635757280942,1,66,31.2,2.8,0,2.976e-05,2.976e-06,0.02976
"54","besner","10_20",0.2,24,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,3.51618606352396e-05,3.51618606352396e-06,0.0351618606352396
"55","besner","20_40",0.2,24,1.47,0.014142135623731,2,65.45,31.85,2.7,0,3.528e-05,7.056e-06,0.07056
"56","besner","40_100",0.2,24,1.688,0.148895936814945,5,61.6,35.62,2.78,0,4.0512e-05,2.43072e-05,0.243072
"57","bethera","0_10",1.175,141,1.27,0.246635757280942,1,48.9,54.65,31.7,0,0.00017907,1.7907e-05,0.17907
"58","bethera","10_20",0.07,8.4,1.5096443452381,0.210069553241103,0,6.8,51.5,24.3,0,1.26810125e-05,1.26810125e-06,0.0126810125
"59","bethera","20_40",1.26,151.2,1.34,0.215883238671701,1,46.1,49.95,38.55,0,0.000202608,4.05216e-05,0.405216
"60","bethera","40_100",0.756666666666667,90.8,1.74,0.19649269329816,1,15.5666666666667,30.1,53.9,0,0.000157992,9.47952e-05,0.947952
"61","betis","0_10",0.23,27.6,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,3.63338383502144e-05,3.63338383502144e-06,0.0363338383502144
"62","betis","10_20",0.23,27.6,1.5096443452381,0.210069553241103,0,90.85,7.35,1.8,0,4.16661839285716e-05,4.16661839285716e-06,0.0416661839285716
