"","soil_name","horizon","c_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","c_g_cm3","c_Mg_horizon","c_Mg_ha"
"1","acadia","0_10",1.42,1.4,0.246635757280942,1,58.5,36.4,5.1,2,0.0194824,0.00194824,19.4824
"2","acadia","10_20",0.89,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.013039189985568,0.0013039189985568,13.039189985568
"3","acadia","20_40",0.36,1.62,0.215883238671701,1,40.9,37.5,21.6,2,0.00571536,0.001143072,11.43072
"4","acadia","40_100",0.116666666666667,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,0.00207647222222222,0.00124588333333333,12.4588333333333
"5","albany","0_10",1.118125,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,0.0178800611111111,0.00178800611111111,17.8800611111111
"6","albany","10_20",0.944285714285714,1.5096443452381,0.210069553241103,0,45.6285714285714,5.97142857142857,2.24285714285714,0,0.0142553558886055,0.00142553558886055,14.2553558886055
"7","albany","20_40",0.38,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,0.00641843222222222,0.00128368644444444,12.8368644444444
"8","albany","40_100",0.145869565217391,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,0.00254593216297512,0.00152755929778507,15.2755929778507
"9","allanton","0_10",4.07,1.3509262485482,0.246635757280942,0,21.2,6.2,7.8,0,0.0549826983159118,0.00549826983159118,54.9826983159118
"10","allanton","10_20",1.2,1.5096443452381,0.210069553241103,0,95.2,6.5,2,0,0.0181157321428572,0.00181157321428572,18.1157321428572
"11","allanton","20_40",1.285,1.50104635443921,0.215883238671701,0,17.25,8.15,3.05,0,0.0192884456545439,0.00385768913090877,38.5768913090877
"12","allanton","40_100",0.32,1.59451747615447,0.19649269329816,0,68.1,7,2.68,0,0.0051024559236943,0.00306147355421658,30.6147355421658
"13","angelina","0_10",NA,1.53,0.246635757280942,1,30.2,40.5,29.3,0,NA,NA,NA
"14","angelina","10_20",NA,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,NA,NA,NA
"15","angelina","20_40",NA,1.81,0.215883238671701,1,16.6,42.1,41.3,0,NA,NA,NA
"16","angelina","40_100",NA,1.69666666666667,0.0550757054728611,3,52.5333333333333,22.9666666666667,24.5,0,NA,NA,NA
"17","appling","0_10",2.41,1.3509262485482,0.246635757280942,0,65.0666666666667,21.1333333333333,12.6,4,0.0312550296864112,0.00312550296864112,31.2550296864112
"18","appling","10_20",0.21,1.5096443452381,0.210069553241103,0,31.175,38.425,15.125,0,0.00317025312500001,0.000317025312500001,3.17025312500001
"19","appling","20_40",0.3,1.50104635443921,0.215883238671701,0,36.8,20.6,42.6,0,0.00450313906331763,0.000900627812663526,9.00627812663526
"20","appling","40_100",0.14,1.31,0.19649269329816,1,42.0181818181818,25.5,32.9090909090909,2.72727272727273,0.00178398181818182,0.00107038909090909,10.7038909090909
"21","arkana","0_10",2.79375,1.3509262485482,0.246635757280942,0,26.26875,54.1375,19.6,0,0.0377415020688153,0.00377415020688153,37.7415020688154
"22","arkana","10_20",1.9,1.5096443452381,0.210069553241103,0,26.5285714285714,49.4571428571429,24.0142857142857,0,0.0286832425595239,0.00286832425595239,28.6832425595239
"23","arkana","20_40",1.32105263157895,1.50104635443921,0.215883238671701,0,19.9578947368421,39.3421052631579,40.6947368421053,0,0.019829612366539,0.00396592247330781,39.6592247330781
"24","arkana","40_100",0.691891891891892,1.59451747615447,0.19649269329816,0,11.5108108108108,26.2378378378378,62.2378378378378,0,0.011032337132312,0.00661940227938721,66.1940227938721
"25","ashe","0_10",2.28,1.26,0.246635757280942,1,48.7666666666667,35.2333333333333,16,6.33333333333333,0.02690856,0.002690856,26.90856
"26","ashe","10_20",0.465,1.5096443452381,0.210069553241103,0,49.2,36.75,14.05,2,0.00687944928125002,0.000687944928125002,6.87944928125002
"27","ashe","20_40",0.31,1.58,0.215883238671701,1,63.5,22.7,13.8,1,0.00484902,0.000969804,9.69804
"28","ashe","40_100",0.13,1.79,0.19649269329816,1,59.06,27.64,13.3,8,0.00214084,0.001284504,12.84504
"29","ashlar","0_10",0.85,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.0111897690571312,0.00111897690571312,11.1897690571312
"30","ashlar","10_20",0.85,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.0124531589749807,0.00124531589749807,12.4531589749807
"31","ashlar","20_40",0.85,1.57,0.215883238671701,1,74.2,20.1,5.7,14,0.0114767,0.00229534,22.9534
"32","ashlar","40_100",0.3,1.55,0.19649269329816,1,75.2,19.4,5.4,30,0.003255,0.001953,19.53
"33","attoyac","0_10",0.485,1.63,0.226274169979695,2,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,0.00787914833333333,0.000787914833333333,7.87914833333333
"34","attoyac","10_20",0.89,1.585,0.134350288425444,2,72.75,24.25,3,1,0.013965435,0.0013965435,13.965435
"35","attoyac","20_40",0.286,1.648,0.122351951353462,5,61.2333333333333,30.45,8.31666666666667,0.333333333333333,0.00469756906666667,0.000939513813333333,9.39513813333333
"36","attoyac","40_100",0.161,1.7775,0.0337003603202442,8,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,0.00285657177272727,0.00171394306363636,17.1394306363636
"37","bayboro","0_10",10.3,1.3509262485482,0.246635757280942,0,44.8,20.4,34.8,0,0.139145403600465,0.0139145403600465,139.145403600465
"38","bayboro","10_20",7.81333333333333,1.5096443452381,0.210069553241103,0,36,31.2666666666667,32.7333333333333,0,0.11795354484127,0.011795354484127,117.95354484127
"39","bayboro","20_40",0.95,1.50104635443921,0.215883238671701,0,31.95,32.85,35.2,0,0.0142599403671725,0.0028519880734345,28.519880734345
"40","bayboro","40_100",0.585555555555555,1.59451747615447,0.19649269329816,0,26.6666666666667,24.5,48.8333333333333,0,0.00933678566592673,0.00560207139955604,56.0207139955604
"41","beauregard","0_10",1.785,1.39,0.246635757280942,1,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,0.0245220325,0.00245220325,24.5220325
"42","beauregard","10_20",0.498333333333333,1.6,0.210069553241103,1,36.0666666666667,54.7,9.23333333333333,1,0.0078936,0.00078936,7.8936
