"","soil_name","horizon","k_mqevL","k_ppm","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","k_g_cm3","k_Mg_horizon","k_Mg_ha"
"1","acadia","0_10",0.02,7.8,1.4,0.246635757280942,1,58.5,36.4,5.1,2,1.07016e-05,1.07016e-06,0.0107016
"2","acadia","10_20",0.045,17.55,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,2.57121105895189e-05,2.57121105895189e-06,0.0257121105895189
"3","acadia","20_40",0.07,27.3,1.62,0.215883238671701,1,40.9,37.5,21.6,2,4.334148e-05,8.668296e-06,0.08668296
"4","acadia","40_100",0.163333333333333,63.7,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,0.000113375383333333,6.802523e-05,0.6802523
"5","albany","0_10",0.0361111111111111,14.0833333333333,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,2.25208148148148e-05,2.25208148148148e-06,0.0225208148148148
"6","albany","10_20",0.0485714285714286,18.9428571428571,1.5096443452381,0.210069553241103,0,45.6285714285714,5.97142857142857,2.24285714285714,0,2.85969771683674e-05,2.85969771683674e-06,0.0285969771683674
"7","albany","20_40",0.0217647058823529,8.48823529411765,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,1.43371481372549e-05,2.86742962745098e-06,0.0286742962745098
"8","albany","40_100",0.0194,7.566,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,1.32053062037736e-05,7.92318372226417e-06,0.0792318372226417
"9","allanton","0_10",0.06,23.4,1.3509262485482,0.246635757280942,0,21.2,6.2,7.8,0,3.16116742160279e-05,3.16116742160279e-06,0.0316116742160279
"10","allanton","10_20",0.02,7.8,1.5096443452381,0.210069553241103,0,95.2,6.5,2,0,1.17752258928572e-05,1.17752258928572e-06,0.0117752258928572
"11","allanton","20_40",0.01,3.9,1.50104635443921,0.215883238671701,0,17.25,8.15,3.05,0,5.85408078231292e-06,1.17081615646258e-06,0.0117081615646258
"12","allanton","40_100",0,0,1.59451747615447,0.19649269329816,0,68.1,7,2.68,0,0,0,0
"13","angelina","0_10",0.34,132.6,1.53,0.246635757280942,1,30.2,40.5,29.3,0,0.000202878,2.02878e-05,0.202878
"14","angelina","10_20",0.4,156,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.000228552094129057,2.28552094129057e-05,0.228552094129057
"15","angelina","20_40",0.46,179.4,1.81,0.215883238671701,1,16.6,42.1,41.3,0,0.000324714,6.49428e-05,0.649428
"16","angelina","40_100",0.173333333333333,67.6,1.69666666666667,0.0550757054728611,3,52.5333333333333,22.9666666666667,24.5,0,0.000114694666666667,6.88168000000001e-05,0.688168000000001
"17","appling","0_10",0.065,25.35,1.3509262485482,0.246635757280942,0,65.0666666666667,21.1333333333333,12.6,4,3.2876141184669e-05,3.2876141184669e-06,0.032876141184669
