"soil_name","horizon","base_sat"
"boulogne","20_40",NA
"boulogne","40_100",NA
"greenville","0_10",83.8
"greenville","10_20",76
"greenville","20_40",79.6666666666667
"greenville","40_100",71.4285714285714
"blanton","0_10",30.3333333333333
"blanton","10_20",52
"blanton","20_40",36
"blanton","40_100",50.3333333333333
"wrightsville","0_10",42.1428571428571
"wrightsville","10_20",39.1666666666667
"wrightsville","20_40",42.5714285714286
"wrightsville","40_100",59.6818181818182
"poarch","0_10",6.5
"poarch","10_20",11.25
"poarch","20_40",16
"poarch","40_100",11.6666666666667
"ocilla","0_10",29
"ocilla","10_20",45
"ocilla","20_40",61
"ocilla","40_100",46
"allanton","0_10",NA
"allanton","10_20",NA
"allanton","20_40",NA
"allanton","40_100",NA
"troup","0_10",36.5384615384615
"troup","10_20",7.4
"troup","20_40",38.2857142857143
"troup","40_100",18.0952380952381
"davidson","0_10",53.1428571428571
"davidson","10_20",42.5
"davidson","20_40",46.5
"davidson","40_100",35.1428571428571
"hurricane","0_10",15
"hurricane","10_20",10.75
"hurricane","20_40",6.5
"hurricane","40_100",18.8333333333333
"pamlico","0_10",5.5
"pamlico","10_20",5.5
"pamlico","20_40",6.5
"pamlico","40_100",2.5
"rains","0_10",13.4
"rains","10_20",68
"rains","20_40",15.6666666666667
"rains","40_100",30.5454545454545
"meggett","0_10",25.5
"meggett","10_20",31.5
"meggett","20_40",65.5
"meggett","40_100",90.4
"cartecay","0_10",48
"cartecay","10_20",35.75
"cartecay","20_40",23.5
"cartecay","40_100",40
"wadley","0_10",36.8333333333333
"wadley","10_20",30.0833333333333
"wadley","20_40",23.3333333333333
"wadley","40_100",28.5555555555556
"susquehanna","0_10",17.5
"susquehanna","10_20",29.5
"susquehanna","20_40",38.5
"susquehanna","40_100",51.75
"plummer","0_10",NA
"plummer","10_20",NA
"plummer","20_40",NA
"plummer","40_100",NA
"bonneau","0_10",46.4285714285714
"bonneau","10_20",24.3333333333333
"bonneau","20_40",48.3333333333333
"bonneau","40_100",39.6206896551724
"rexor","0_10",77
"rexor","10_20",77
"rexor","20_40",66.5
"rexor","40_100",56
"beauregard","0_10",45.8333333333333
"beauregard","10_20",27.8333333333333
"beauregard","20_40",17.6666666666667
"beauregard","40_100",19.4285714285714
"lynchburg","0_10",44.5
"lynchburg","10_20",33.4166666666667
"lynchburg","20_40",22.3333333333333
"lynchburg","40_100",11
"betis","0_10",66.5
"betis","10_20",66.5
"betis","20_40",44
"betis","40_100",49.6
"burton","0_10",3.33333333333333
"burton","10_20",2
"burton","20_40",1
"burton","40_100",1.71428571428571
"sapelo","0_10",15.5
"sapelo","10_20",70
"sapelo","20_40",6
"sapelo","40_100",30.5
"mattex","0_10",49
"mattex","10_20",54
"mattex","20_40",59
"mattex","40_100",24.5
"cowee","0_10",6
"cowee","10_20",13.5
"cowee","20_40",21
"cowee","40_100",20
"ouachita","0_10",NA
"ouachita","10_20",NA
"ouachita","20_40",NA
"ouachita","40_100",NA
"mascotte","0_10",NA
"mascotte","10_20",NA
"mascotte","20_40",NA
"mascotte","40_100",NA
"kolin","0_10",35
"kolin","10_20",61
"kolin","20_40",46
"kolin","40_100",41.3636363636364
"escambia","0_10",10
"escambia","10_20",17.6666666666667
"escambia","20_40",17
"escambia","40_100",15.5
"tippah","0_10",37
"tippah","10_20",29.5
"tippah","20_40",22
"tippah","40_100",57.6666666666667
"mecklenburg","0_10",65
"mecklenburg","10_20",38
"mecklenburg","20_40",61.5
"mecklenburg","40_100",64.8
"estate","0_10",74
"estate","10_20",45.5
"estate","20_40",54.6666666666667
"estate","40_100",41.5714285714286
"olustee","0_10",NA
"olustee","10_20",NA
"olustee","20_40",NA
"olustee","40_100",NA
"duplin","0_10",NA
"duplin","10_20",NA
"duplin","20_40",NA
"duplin","40_100",17
"tate","0_10",10.5
"tate","10_20",8
"tate","20_40",8
"tate","40_100",21
"lucy","0_10",51.6666666666667
"lucy","10_20",39
"lucy","20_40",15.5
"lucy","40_100",44
"guyton","0_10",59.6666666666667
"guyton","10_20",87
"guyton","20_40",63
"guyton","40_100",61
"fannin","0_10",41.75
"fannin","10_20",14
"fannin","20_40",23.25
"fannin","40_100",21.6111111111111
"rosman","0_10",39.5
"rosman","10_20",85
"rosman","20_40",37.5
"rosman","40_100",44
"bude","0_10",61.5
"bude","10_20",48.5
"bude","20_40",35.5
"bude","40_100",30.3333333333333
"madison","0_10",55.3333333333333
"madison","10_20",31
"madison","20_40",34
"madison","40_100",24.6
"ashe","0_10",39.3333333333333
"ashe","10_20",20
"ashe","20_40",15
"ashe","40_100",38.75
"reddies","0_10",27
"reddies","10_20",26
"reddies","20_40",8
"reddies","40_100",26.4
"tuckasegee","0_10",7
"tuckasegee","10_20",7
"tuckasegee","20_40",3
"tuckasegee","40_100",8.66666666666667
"dorovan","0_10",NA
"dorovan","10_20",NA
"dorovan","20_40",NA
"dorovan","40_100",NA
"bernaldo","0_10",69.3333333333333
"bernaldo","10_20",86
"bernaldo","20_40",44.5
"bernaldo","40_100",67.7142857142857
"attoyac","0_10",70.5
"attoyac","10_20",66
"attoyac","20_40",70.8
"attoyac","40_100",68.1111111111111
"wahee","0_10",52
"wahee","10_20",47.375
"wahee","20_40",42.75
"wahee","40_100",28.9
"carnasaw","0_10",66.3333333333333
"carnasaw","10_20",41.6666666666667
"carnasaw","20_40",26.6666666666667
"carnasaw","40_100",15.9
"mclaurin","0_10",16
"mclaurin","10_20",10
"mclaurin","20_40",17
"mclaurin","40_100",29
"lexington","0_10",47
"lexington","10_20",78
"lexington","20_40",60.5
"lexington","40_100",56.9090909090909
"ashlar","0_10",14
"ashlar","10_20",14
"ashlar","20_40",14
"ashlar","40_100",33.5
"chewacla","0_10",52.4285714285714
"chewacla","10_20",50
"chewacla","20_40",27.25
