"","soil_name","horizon","sand","silt","clay","frag","bulk_density","bulk_density_sd","n","p_ppm","p_per","p_g_cm3","p_Mg_horizon","p_Mg_ha"
"53","besner","0_10",66,31.2,2.8,0,1.24,0.246635757280942,1,NA,NA,NA,NA,NA
"54","besner","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"55","besner","20_40",65.45,31.85,2.7,0,1.47,0.014142135623731,2,NA,NA,NA,NA,NA
"56","besner","40_100",61.6,35.62,2.78,0,1.688,0.148895936814945,5,NA,NA,NA,NA,NA
"57","bethera","0_10",48.9,54.65,31.7,0,1.27,0.246635757280942,1,10.6,0.00106,1.3462e-05,1.3462e-06,0.013462
"58","bethera","10_20",6.8,51.5,24.3,0,1.5096443452381,0.210069553241103,0,7.75,0.000775,1.16997436755953e-05,1.16997436755953e-06,0.0116997436755953
"59","bethera","20_40",46.1,49.95,38.55,0,1.34,0.215883238671701,1,4.9,0.00049,6.566e-06,1.3132e-06,0.013132
"60","bethera","40_100",15.5666666666667,30.1,53.9,0,1.74,0.19649269329816,1,0.4,4e-05,6.96e-07,4.176e-07,0.004176
"61","betis","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"62","betis","10_20",90.85,7.35,1.8,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"63","betis","20_40",84.3,13.1,2.6,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"64","betis","40_100",86.76,9.2,4.04,0,1.72,0.19649269329816,1,NA,NA,NA,NA,NA
"65","bibb","0_10",70.375,21.9,7.725,0,1.3509262485482,0.246635757280942,0,7.46666666666667,0.000746666666666667,1.00869159891599e-05,1.00869159891599e-06,0.0100869159891599
"66","bibb","10_20",48.3,37.55,14.05,0,1.5096443452381,0.210069553241103,0,4.83333333333333,0.000483333333333333,7.29661433531749e-06,7.29661433531749e-07,0.00729661433531749
"67","bibb","20_40",61.52,27.56,10.88,0,1.14,0.215883238671701,1,2.2,0.00022,2.508e-06,5.016e-07,0.005016
"68","bibb","40_100",76.28,15.69,7.99,0.2,1.38,0.127279220613579,2,1.4,0.00014,1.928136e-06,1.1568816e-06,0.011568816
"69","blanton","0_10",54.0944444444444,6.24736842105263,2.58947368421053,0,1.45,0.246635757280942,1,77.4,0.00774,0.00011223,1.1223e-05,0.11223
"70","blanton","10_20",64.475,8.375,2.9875,0,1.5096443452381,0.210069553241103,0,169,0.0169,0.000255129894345239,2.55129894345239e-05,0.255129894345239
"71","blanton","20_40",51.1769230769231,7.76428571428571,3.35714285714286,0,1.50104635443921,0.215883238671701,0,95.7,0.00957,0.000143650136119832,2.87300272239665e-05,0.287300272239665
"72","blanton","40_100",58.4387755102041,6.66734693877551,2.73877551020408,0,1.57,0.0264575131106459,3,9.5,0.00095,1.4915e-05,8.949e-06,0.08949
"73","bonneau","0_10",76.54,11.3454545454545,4.59090909090909,1.81818181818182,1.66,0.246635757280942,1,27.55,0.002755,4.49014909090909e-05,4.49014909090909e-06,0.0449014909090909
"74","bonneau","10_20",75.9833333333333,8.43333333333333,2.73333333333333,4.16666666666667,1.81,0.210069553241103,1,21.8333333333333,0.00218333333333333,3.78717361111111e-05,3.78717361111111e-06,0.0378717361111111
"75","bonneau","20_40",65.4692307692308,11.6076923076923,6.16923076923077,1.46153846153846,1.50104635443921,0.215883238671701,0,1.36666666666667,0.000136666666666667,2.02144757901287e-06,4.04289515802573e-07,0.00404289515802573
"76","bonneau","40_100",55.8648148148148,9.37592592592593,18.2851851851852,1.18518518518519,1.64,0.0299999999999999,3,1.57,0.000157,2.54428385185185e-06,1.52657031111111e-06,0.0152657031111111
"77","boulogne","0_10",59.3333333333333,4.66666666666667,1.86666666666667,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"78","boulogne","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"79","boulogne","20_40",33.675,5.22,2.54,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"80","boulogne","40_100",67.5444444444445,4.33,2.65,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"81","bude","0_10",24.4,65.55,10.05,0,1.54,0.127279220613579,2,NA,NA,NA,NA,NA
"82","bude","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"83","bude","20_40",16.15,64.55,19.3,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"84","bude","40_100",14.8888888888889,61.2222222222222,23.8888888888889,0,1.675,0.124766448481419,4,NA,NA,NA,NA,NA
"85","burton","0_10",55.0444444444444,29.3111111111111,20.5125,11.7777777777778,0.7225,0.12737739202857,4,2.5,0.00025,1.59351388888889e-06,1.59351388888889e-07,0.00159351388888889
"86","burton","10_20",55.35,28.125,16.525,5.25,0.935,0.275771644662753,2,2.5,0.00025,2.21478125e-06,2.21478125e-07,0.00221478125
"87","burton","20_40",54.7625,30.6875,14.55,15.75,1.046,0.114367827643966,5,2.5,0.00025,2.2031375e-06,4.406275e-07,0.004406275
"88","burton","40_100",56.1636363636364,30.5181818181818,13.3181818181818,10.7272727272727,1.27166666666667,0.0847152091815081,6,21.6333333333333,0.00216333333333333,2.45592744444445e-05,1.47355646666667e-05,0.147355646666667
"89","caddo","0_10",24.4285714285714,69.4571428571429,6.11428571428571,0.714285714285714,1.465,0.0494974746830584,2,NA,NA,NA,NA,NA
"90","caddo","10_20",19.1,69.575,11.325,0.5,1.6,0.210069553241103,1,NA,NA,NA,NA,NA
"91","caddo","20_40",21.4,66.675,11.925,0.25,1.685,0.0212132034355964,2,NA,NA,NA,NA,NA
"92","caddo","40_100",18.26875,63.74375,17.9875,0.3125,1.7075,0.0713559154286921,4,NA,NA,NA,NA,NA
"93","cahaba","0_10",51.35,34.175,14.4666666666667,0,1.4,0.0556776436283002,3,11.4666666666667,0.00114666666666667,1.60533333333333e-05,1.60533333333333e-06,0.0160533333333333
"94","cahaba","10_20",51.3,31.5,17.2,0,1.37,0.210069553241103,1,1.6,0.00016,2.192e-06,2.192e-07,0.002192
"95","cahaba","20_40",47.9466666666667,32.9,19.14,0,1.47333333333333,0.0757187779440037,3,3.53333333333333,0.000353333333333333,5.20577777777777e-06,1.04115555555555e-06,0.0104115555555555
"96","cahaba","40_100",46.1545454545455,28.3606060606061,25.469696969697,0,1.526,0.0439317652729776,5,3.66,0.000366,5.58516e-06,3.351096e-06,0.03351096
"97","carnasaw","0_10",27.6,61.4,10.975,8.25,1.5,0.325269119345812,2,0,0,0,0,0
"98","carnasaw","10_20",29.775,56.975,14.3,9.75,1.59,0.0565685424949237,2,0,0,0,0,0
"99","carnasaw","20_40",11.4333333333333,36.4666666666667,52.0666666666667,4.66666666666667,1.43333333333333,0.155349069303081,3,0,0,0,0,0
"100","carnasaw","40_100",15.6923076923077,33.7153846153846,51.8769230769231,5.61538461538461,1.55142857142857,0.110064915910047,7,0,0,0,0,0
"101","cartecay","0_10",53.1,26,20.9,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"102","cartecay","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"103","cartecay","20_40",71.2,16.3,12.5,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"104","cartecay","40_100",69,18.8,12.2,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"105","cashiers","0_10",54.6,25.6,19.8,8,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"106","cashiers","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"107","cashiers","20_40",59.3,23,17.7,9,1.04,0.215883238671701,1,NA,NA,NA,NA,NA
"108","cashiers","40_100",66.4,18.5,15.1,7.5,1.31,0.0989949493661166,2,NA,NA,NA,NA,NA
"109","cataula","0_10",66.2,18.5,15.3,4,1.39,0.246635757280942,1,NA,NA,NA,NA,NA
"110","cataula","10_20",68,18,14,11,1.72,0.210069553241103,1,NA,NA,NA,NA,NA
"111","cataula","20_40",36.7,13.5,49.8,4,1.51,0.215883238671701,1,NA,NA,NA,NA,NA
"112","cataula","40_100",32.0333333333333,15.6,52.3666666666667,2.66666666666667,1.505,0.120208152801713,2,NA,NA,NA,NA,NA
"113","cecil","0_10",58.4710526315789,21.9894736842105,21.9684210526316,6.13157894736842,1.58571428571429,0.13226956602045,7,31,0.0031,4.61430338345866e-05,4.61430338345866e-06,0.0461430338345866
"114","cecil","10_20",53.74,20.095,29.655,5.6,1.64666666666667,0.102143689640297,3,29.5,0.00295,4.58563733333334e-05,4.58563733333334e-06,0.0458563733333334
"115","cecil","20_40",46.504347826087,20.4652173913043,36.6217391304348,5.21739130434783,1.59083333333333,0.124568953766275,12,28,0.0028,4.22193333333332e-05,8.44386666666665e-06,0.0844386666666665
"116","cecil","40_100",35.9277777777778,21.0986111111111,42.8472222222222,2.30555555555556,1.498,0.097689087900015,20,2,2e-04,2.92692555555556e-06,1.75615533333333e-06,0.0175615533333333
"117","chandler","0_10",40.35,22.05,29.3,22,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"118","chandler","10_20",65,22,13,47,1.62,0.210069553241103,1,NA,NA,NA,NA,NA
"119","chandler","20_40",44.2,18.4,37.4,10,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"120","chandler","40_100",80.75,10.1,9.15,21.75,2.07666666666667,0.271538824725551,3,NA,NA,NA,NA,NA
"121","chestnut","0_10",34.7,48.6,14.6333333333333,3,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"122","chestnut","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"123","chestnut","20_40",42.05,37.05,20.9,10,1.13,0.215883238671701,1,NA,NA,NA,NA,NA
"124","chestnut","40_100",65,29.3,5.7,1.66666666666667,1.45,0.0989949493661167,2,NA,NA,NA,NA,NA
"125","chewacla","0_10",13.0714285714286,48.3571428571429,38.5714285714286,1.28571428571429,1.355,0.190918830920368,2,16.9,0.00169,2.26050778571429e-05,2.26050778571429e-06,0.0226050778571429
"126","chewacla","10_20",12.45,41,46.55,0.5,1.5096443452381,0.210069553241103,0,9.48333333333333,0.000948333333333333,1.42448782379713e-05,1.42448782379713e-06,0.0142448782379713
"127","chewacla","20_40",11.45,48.925,39.625,3.5,1.48,0.0692820323027551,3,2.06666666666667,0.000206666666666667,2.95161333333333e-06,5.90322666666667e-07,0.00590322666666667
"128","chewacla","40_100",15.65,46.3285714285714,38.0214285714286,0.5,1.53333333333333,0.118462370959446,3,2.075,0.0002075,3.16575833333333e-06,1.899455e-06,0.01899455
"129","clarksville","0_10",26.5863905325444,63.2307692307692,10.1786982248521,0.93491124260355,1.3509262485482,0.246635757280942,0,21.225,0.0021225,2.84053386952096e-05,2.84053386952096e-06,0.0284053386952096
"130","clarksville","10_20",24.1833333333333,65.2088235294118,10.6098039215686,0.235294117647059,1.5096443452381,0.210069553241103,0,15.2666666666667,0.00152666666666667,2.29930082110178e-05,2.29930082110178e-06,0.0229930082110178
"131","clarksville","20_40",24.6770491803279,62.575956284153,12.7448087431694,1.2568306010929,1.50104635443921,0.215883238671701,0,14.6,0.00146,2.16398388699924e-05,4.32796777399848e-06,0.0432796777399848
"132","clarksville","40_100",26.1935546875,46.393359375,27.41328125,1.05078125,2.04,0.0916515138991169,3,17.8,0.00178,3.59304403125e-05,2.15582641875e-05,0.215582641875
"133","clebit","0_10",57.1,28.5,14.4,10,1.48,0.246635757280942,1,NA,NA,NA,NA,NA
"134","clebit","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"135","clebit","20_40",56.5,30,13.5,14,1.51,0.215883238671701,1,NA,NA,NA,NA,NA
"136","clebit","40_100",47.1527031434407,24.7802985973975,23.2730709428291,3.29052854268621,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"137","clifton","0_10",36.05,35.75,28.2,11.375,1.29857142857143,0.108386433872598,7,2.4,0.00024,2.76206142857143e-06,2.76206142857143e-07,0.00276206142857143
"138","clifton","10_20",27.4666666666667,37.0666666666667,35.4666666666667,2,1.53,0.0916515138991168,3,1.35,0.000135,2.02419e-06,2.02419e-07,0.00202419
"139","clifton","20_40",28.0125,31.425,40.5625,5.75,1.47166666666667,0.0820771994324043,6,0.3,3e-05,4.16113750000001e-07,8.32227500000002e-08,0.000832227500000002
"140","clifton","40_100",38.1909090909091,27.1363636363636,34.6727272727273,5.45454545454545,1.3935,0.106389304963076,20,0.133333333333333,1.33333333333333e-05,1.75665454545455e-07,1.05399272727273e-07,0.00105399272727273
"141","congaree","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"142","congaree","10_20",53.2,29,17.8,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"143","congaree","20_40",44.6474010593,29.3694540148412,19.535668248824,2.4242495503916,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"144","congaree","40_100",43.05,35.725,21.225,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"145","cowarts","0_10",73.7916666666667,9.60833333333333,8.75,3.83333333333333,1.525,0.088881944173156,4,26.15,0.002615,3.83500645833333e-05,3.83500645833333e-06,0.0383500645833333
"146","cowarts","10_20",79.2,10.26,10.54,3.4,1.65,0.0282842712474619,2,15.4083333333333,0.00154083333333333,2.45593425e-05,2.45593425e-06,0.0245593425
"147","cowarts","20_40",65.7857142857143,8.22857142857143,23.6357142857143,5.42857142857143,1.66333333333333,0.091796877216312,6,4.66666666666667,0.000466666666666667,7.34084444444443e-06,1.46816888888889e-06,0.0146816888888889
"148","cowarts","40_100",61.2027777777778,6.44864864864865,31.6567567567568,2.75675675675676,1.70055555555556,0.108653373420044,18,0.56,5.6e-05,9.26058210210213e-07,5.55634926126128e-07,0.00555634926126128
"149","cowee","0_10",67.2,20.6,12.2,20,1.33,0.246635757280942,1,NA,NA,NA,NA,NA
"150","cowee","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"151","cowee","20_40",62.8,18.6,18.6,17,1.64,0.215883238671701,1,NA,NA,NA,NA,NA
"152","cowee","40_100",78.9666666666667,9.6,11.4333333333333,18.3333333333333,1.83,0.395979797464466,2,NA,NA,NA,NA,NA
"153","craggey","0_10",60.075,33.2,23.625,6.75,0.76,0.10816653826392,3,1.2,0.00012,8.5044e-07,8.5044e-08,0.00085044
"154","craggey","10_20",71.85,20.6,7.55,21,1.04,0.210069553241103,1,1.2,0.00012,9.8592e-07,9.8592e-08,0.00098592
"155","craggey","20_40",79.6666666666667,16.9,3.43333333333333,20.3333333333333,0.97,0.215883238671701,1,0.8,8e-05,6.18213333333334e-07,1.23642666666667e-07,0.00123642666666667
"156","craggey","40_100",68.1,23.5,8.4,20,1.59451747615447,0.19649269329816,0,0.6,6e-05,7.65368388554146e-07,4.59221033132487e-07,0.00459221033132487
"157","craven","0_10",23.3,67.2,9.5,0,1.45,0.014142135623731,2,NA,NA,NA,NA,NA
"158","craven","10_20",25.9,63.9,10.2,0,1.62,0.210069553241103,1,NA,NA,NA,NA,NA
"159","craven","20_40",15.0666666666667,57.7666666666667,27.1666666666667,0,1.58333333333333,0.153079500042734,3,NA,NA,NA,NA,NA
"160","craven","40_100",15.24,38.26,46.5,0,1.588,0.0402492235949962,5,NA,NA,NA,NA,NA
"161","cullasaja","0_10",58.7,29,12.3,57,0.925,0.0353553390593273,2,3,3e-04,1.19325e-06,1.19325e-07,0.00119325
"162","cullasaja","10_20",55.3,23.7,21,51,0.84,0.210069553241103,1,2,2e-04,8.232e-07,8.232e-08,0.0008232
"163","cullasaja","20_40",58.0666666666667,28.8,13.1333333333333,46.6666666666667,1.32666666666667,0.319426569548204,3,1,1e-04,7.07555555555557e-07,1.41511111111111e-07,0.00141511111111111
"164","cullasaja","40_100",63.9428571428571,23.8571428571429,12.2,58.8571428571429,1.54666666666667,0.185022521151706,3,0.8,8e-05,5.09074285714286e-07,3.05444571428572e-07,0.00305444571428572
"165","davidson","0_10",47.1571428571429,23.3,29.5428571428571,1,1.59,0.12,3,NA,NA,NA,NA,NA
"166","davidson","10_20",30.9333333333333,34.0333333333333,30.7,1.33333333333333,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"167","davidson","20_40",40.1,20.9666666666667,38.9333333333333,0.666666666666667,1.5725,0.0206155281280883,4,NA,NA,NA,NA,NA
"168","davidson","40_100",27.2,16.3357142857143,56.4642857142857,0.785714285714286,1.57666666666667,0.104626319187223,6,NA,NA,NA,NA,NA
"169","dorovan","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"170","dorovan","10_20",21,0.1,17.9,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"171","dorovan","20_40",44.6474010593,29.3694540148412,19.535668248824,2.4242495503916,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"172","dorovan","40_100",65.3,0.8,22.2,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"173","dothan","0_10",74.3809523809524,14.13125,7.63125,1.8125,1.405,0.346482322781408,2,90.2,0.00902,0.000124434000625,1.24434000625e-05,0.124434000625
"174","dothan","10_20",78.5595238095238,13.047619047619,7.08095238095238,2.19047619047619,1.65666666666667,0.124525767079214,6,69.55,0.006955,0.000112697274444445,1.12697274444445e-05,0.112697274444445
"175","dothan","20_40",66.6610169491525,13.3305084745763,15.0779661016949,2.91525423728814,1.778,0.0834865258589673,5,49.9,0.00499,8.61357223050847e-05,1.72271444610169e-05,0.172271444610169
"176","dothan","40_100",55.375,12.6240740740741,27.6231481481481,3.31481481481481,1.636,0.068677992593455,25,1.48,0.000148,2.34101905185185e-06,1.40461143111111e-06,0.0140461143111111
"177","duplin","0_10",37.2,23.2,9.4,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"178","duplin","10_20",7.3,17.8,12,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"179","duplin","20_40",52.9333333333333,21.7666666666667,24.9333333333333,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"180","duplin","40_100",38.5,18.2857142857143,49.5714285714286,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"181","edneyville","0_10",32.7,38.7,28.6,5,0.82,0.246635757280942,1,NA,NA,NA,NA,NA
"182","edneyville","10_20",36.5,34.2,29.3,2,1.19,0.210069553241103,1,NA,NA,NA,NA,NA
"183","edneyville","20_40",44.6474010593,29.3694540148412,19.535668248824,2.4242495503916,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"184","edneyville","40_100",66.5,24.24,9.26,0.6,1.075,0.0493288286231624,4,NA,NA,NA,NA,NA
"185","enon","0_10",60.1,29.95,9.95,27.5,1.07,0.246635757280942,1,NA,NA,NA,NA,NA
"186","enon","10_20",46.3,40.6,13.1,29,1.48,0.210069553241103,1,NA,NA,NA,NA,NA
"187","enon","20_40",30.75,19.9,49.35,8,1.52,0.215883238671701,1,NA,NA,NA,NA,NA
"188","enon","40_100",32.3857142857143,17.5285714285714,50.0857142857143,2.57142857142857,1.76333333333333,0.0873689494805411,3,NA,NA,NA,NA,NA
"189","escambia","0_10",60.7333333333333,29.2666666666667,7.6,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"190","escambia","10_20",48.525,31.9,6.7,0.5,1.33,0.210069553241103,1,NA,NA,NA,NA,NA
