"","soil_name","horizon","sand","silt","clay","frag","bulk_density","bulk_density_sd","n","p_ppm","p_per","p_g_cm3","p_Mg_horizon","p_Mg_ha"
"1","acadia","0_10",58.5,36.4,5.1,2,1.4,0.246635757280942,1,NA,NA,NA,NA,NA
"2","acadia","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"3","acadia","20_40",40.9,37.5,21.6,2,1.62,0.215883238671701,1,NA,NA,NA,NA,NA
"4","acadia","40_100",35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,1.81,0.05,3,NA,NA,NA,NA,NA
"5","albany","0_10",46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,1.6,0.246635757280942,1,25.2,0.00252,4.02976e-05,4.02976e-06,0.0402976
"6","albany","10_20",45.6285714285714,5.97142857142857,2.24285714285714,0,1.5096443452381,0.210069553241103,0,23.55,0.002355,3.55521243303573e-05,3.55521243303573e-06,0.0355521243303573
"7","albany","20_40",57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,1.69,0.014142135623731,2,21.9,0.00219,3.69904383333333e-05,7.39808766666667e-06,0.0739808766666667
"8","albany","40_100",53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,1.74666666666667,0.0956382071489562,6,7.41666666666667,0.000741666666666667,1.29446675052411e-05,7.76680050314467e-06,0.0776680050314467
"9","allanton","0_10",21.2,6.2,7.8,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"10","allanton","10_20",95.2,6.5,2,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"11","allanton","20_40",17.25,8.15,3.05,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"12","allanton","40_100",68.1,7,2.68,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"13","angelina","0_10",30.2,40.5,29.3,0,1.53,0.246635757280942,1,0,0,0,0,0
"14","angelina","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.1,1e-05,1.46507752646832e-07,1.46507752646832e-08,0.000146507752646832
"15","angelina","20_40",16.6,42.1,41.3,0,1.81,0.215883238671701,1,0.2,2e-05,3.62e-07,7.24e-08,0.000724
"16","angelina","40_100",52.5333333333333,22.9666666666667,24.5,0,1.69666666666667,0.0550757054728611,3,0.733333333333333,7.33333333333333e-05,1.24422222222222e-06,7.46533333333335e-07,0.00746533333333335
"17","appling","0_10",65.0666666666667,21.1333333333333,12.6,4,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"18","appling","10_20",31.175,38.425,15.125,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"19","appling","20_40",36.8,20.6,42.6,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"20","appling","40_100",42.0181818181818,25.5,32.9090909090909,2.72727272727273,1.31,0.19649269329816,1,NA,NA,NA,NA,NA
"21","arkana","0_10",26.26875,54.1375,19.6,0,1.3509262485482,0.246635757280942,0,160,0.016,0.000216148199767712,2.16148199767712e-05,0.216148199767712
"22","arkana","10_20",26.5285714285714,49.4571428571429,24.0142857142857,0,1.5096443452381,0.210069553241103,0,160,0.016,0.000241543095238096,2.41543095238096e-05,0.241543095238096
"23","arkana","20_40",19.9578947368421,39.3421052631579,40.6947368421053,0,1.50104635443921,0.215883238671701,0,160,0.016,0.000240167416710274,4.80334833420547e-05,0.480334833420547
"24","arkana","40_100",11.5108108108108,26.2378378378378,62.2378378378378,0,1.59451747615447,0.19649269329816,0,92.6666666666667,0.00926666666666667,0.000147758619456981,8.86551716741885e-05,0.886551716741885
"25","ashe","0_10",48.7666666666667,35.2333333333333,16,6.33333333333333,1.26,0.246635757280942,1,NA,NA,NA,NA,NA
"26","ashe","10_20",49.2,36.75,14.05,2,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"27","ashe","20_40",63.5,22.7,13.8,1,1.58,0.215883238671701,1,NA,NA,NA,NA,NA
"28","ashe","40_100",59.06,27.64,13.3,8,1.79,0.19649269329816,1,NA,NA,NA,NA,NA
"29","ashlar","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"30","ashlar","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"31","ashlar","20_40",74.2,20.1,5.7,14,1.57,0.215883238671701,1,NA,NA,NA,NA,NA
"32","ashlar","40_100",75.2,19.4,5.4,30,1.55,0.19649269329816,1,NA,NA,NA,NA,NA
"33","attoyac","0_10",64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,1.63,0.226274169979695,2,6,6e-04,9.7474e-06,9.7474e-07,0.0097474
"34","attoyac","10_20",72.75,24.25,3,1,1.585,0.134350288425444,2,13.25,0.001325,2.07912375e-05,2.07912375e-06,0.0207912375
"35","attoyac","20_40",61.2333333333333,30.45,8.31666666666667,0.333333333333333,1.648,0.122351951353462,5,20.5,0.00205,3.36713866666667e-05,6.73427733333333e-06,0.0673427733333333
"36","attoyac","40_100",49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,1.7775,0.0337003603202442,8,1.7,0.00017,3.01625590909091e-06,1.80975354545455e-06,0.0180975354545455
"37","bayboro","0_10",44.8,20.4,34.8,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA,NA
"38","bayboro","10_20",36,31.2666666666667,32.7333333333333,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"39","bayboro","20_40",31.95,32.85,35.2,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA,NA
"40","bayboro","40_100",26.6666666666667,24.5,48.8333333333333,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA,NA
"41","beauregard","0_10",39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,1.39,0.246635757280942,1,NA,NA,NA,NA,NA
"42","beauregard","10_20",36.0666666666667,54.7,9.23333333333333,1,1.6,0.210069553241103,1,NA,NA,NA,NA,NA
"43","beauregard","20_40",30.8166666666667,52.3666666666667,16.8166666666667,1,1.62,0.215883238671701,1,NA,NA,NA,NA,NA
"44","beauregard","40_100",27.90625,52.375,19.71875,1.25,1.70666666666667,0.0850490054811538,3,NA,NA,NA,NA,NA
"45","benndale","0_10",71.4,18.95,9.65,0.5,1.53,0.246635757280942,1,NA,NA,NA,NA,NA
"46","benndale","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA,NA
"47","benndale","20_40",64.15,20.1,15.75,0,1.63,0.215883238671701,1,NA,NA,NA,NA,NA
"48","benndale","40_100",69.12,17.16,13.72,0.6,1.69,0.0173205080756888,3,NA,NA,NA,NA,NA
"49","bernaldo","0_10",62.0666666666667,35.5,2.43333333333333,0,1.3509262485482,0.246635757280942,0,3.8,0.00038,5.13351974448316e-06,5.13351974448316e-07,0.00513351974448316
"50","bernaldo","10_20",52.3,42.1,5.6,0,1.44,0.210069553241103,1,2.28333333333333,0.000228333333333333,3.288e-06,3.288e-07,0.003288
"51","bernaldo","20_40",56.625,37.875,5.5,0,1.51,0.0800000000000001,3,0.766666666666667,7.66666666666667e-05,1.15766666666667e-06,2.31533333333333e-07,0.00231533333333333
"52","bernaldo","40_100",41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,1.67142857142857,0.0817370930542087,7,0.24,2.4e-05,4.00569795918367e-07,2.4034187755102e-07,0.0024034187755102
