"","soil_name","horizon","sand","silt","clay","frag","bulk_density","bulk_density_sd","n","n_per","n_g_cm3","n_Mg_horizon","n_Mg_ha"
"1","acadia","0_10",58.5,36.4,5.1,2,1.4,0.246635757280942,1,0.057,0.00078204,7.8204e-05,0.78204
"2","acadia","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.04,0.000586031010587326,5.86031010587327e-05,0.586031010587327
"3","acadia","20_40",40.9,37.5,21.6,2,1.62,0.215883238671701,1,0.023,0.000365148,7.30296e-05,0.730296
"4","acadia","40_100",35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,1.81,0.05,3,0.023,0.000409361666666667,0.000245617,2.45617
"5","albany","0_10",46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,1.6,0.246635757280942,1,0.058,0.000927484444444444,9.27484444444445e-05,0.927484444444445
"6","albany","10_20",45.6285714285714,5.97142857142857,2.24285714285714,0,1.5096443452381,0.210069553241103,0,0.037,0.000558568407738097,5.58568407738097e-05,0.558568407738097
"7","albany","20_40",57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,1.69,0.014142135623731,2,0.016,0.000270249777777778,5.40499555555556e-05,0.540499555555556
"8","albany","40_100",53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,1.74666666666667,0.0956382071489562,6,0.0055,9.59941635220128e-05,5.75964981132077e-05,0.575964981132077
"9","allanton","0_10",21.2,6.2,7.8,0,1.3509262485482,0.246635757280942,0,NA,NA,NA,NA
"10","allanton","10_20",95.2,6.5,2,0,1.5096443452381,0.210069553241103,0,NA,NA,NA,NA
"11","allanton","20_40",17.25,8.15,3.05,0,1.50104635443921,0.215883238671701,0,NA,NA,NA,NA
"12","allanton","40_100",68.1,7,2.68,0,1.59451747615447,0.19649269329816,0,NA,NA,NA,NA
"13","angelina","0_10",30.2,40.5,29.3,0,1.53,0.246635757280942,1,0.138,0.0021114,0.00021114,2.1114
"14","angelina","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.1415,0.00207308469995267,0.000207308469995267,2.07308469995267
"15","angelina","20_40",16.6,42.1,41.3,0,1.81,0.215883238671701,1,0.145,0.0026245,0.0005249,5.249
"16","angelina","40_100",52.5333333333333,22.9666666666667,24.5,0,1.69666666666667,0.0550757054728611,3,0.0763333333333333,0.00129512222222222,0.000777073333333335,7.77073333333335
"17","appling","0_10",65.0666666666667,21.1333333333333,12.6,4,1.3509262485482,0.246635757280942,0,0.1135,0.00147196924041812,0.000147196924041812,1.47196924041812
"18","appling","10_20",31.175,38.425,15.125,0,1.5096443452381,0.210069553241103,0,0.0555,0.000837852611607146,8.37852611607146e-05,0.837852611607146
"19","appling","20_40",36.8,20.6,42.6,0,1.50104635443921,0.215883238671701,0,0.044,0.000660460395953252,0.00013209207919065,1.3209207919065
