"soil_name","horizon","ca_Mg_horizon","k_Mg_horizon","mg_Mg_horizon","p_Mg_horizon","n_Mg_ha","c_Mg_ha.x","c_Mg_ha.y","base_sat","ph.cacl","ph.h2o","bulk_density","bulk_density_sd","sand","silt","clay","frag"
"acadia","0_10",2.41472e-05,1.07016e-06,5.26848e-06,NA,0.78204,19.4824,NA,19,3.9,4.5,1.4,0.246635757280942,58.5,36.4,5.1,2
"acadia","10_20",3.10596435611283e-05,2.57121105895189e-06,1.30977930866267e-05,NA,0.586031010587327,13.039189985568,NA,23.5,4,4.65,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"acadia","20_40",7.874496e-05,8.668296e-06,4.4579808e-05,NA,0.730296,11.43072,NA,28,4.1,4.8,1.62,0.215883238671701,40.9,37.5,21.6,2
"acadia","40_100",0.000402242333333333,6.802523e-05,0.00040708348,NA,2.45617,12.4588333333333,NA,39.3333333333333,4.13333333333333,5.1,1.81,0.05,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667
"albany","0_10",2.07351407407407e-05,2.25208148148148e-06,2.3560237037037e-06,4.02976e-06,0.927484444444445,17.8800611111111,16.7107111111111,41.5,4.5,4.95,1.6,0.246635757280942,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556
"albany","10_20",1.78138032738096e-05,2.85969771683674e-06,1.7339343622449e-06,3.55521243303573e-06,0.558568407738097,14.2553558886055,9.81268824404765,40,4.84285714285714,5.4,1.5096443452381,0.210069553241103,45.6285714285714,5.97142857142857,2.24285714285714,0
"albany","20_40",6.60610567901235e-06,2.86742962745098e-06,1.59765309803922e-06,7.39808766666667e-06,0.540499555555556,12.8368644444444,8.61421166666667,38.5,4.87222222222222,5.38333333333333,1.69,0.014142135623731,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556
"albany","40_100",1.77827953008188e-05,7.92318372226417e-06,3.76995260377359e-06,7.76680050314467e-06,0.575964981132077,15.2755929778507,4.88697559748429,42.6,4.93207547169811,5.4811320754717,1.74666666666667,0.0956382071489562,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075
"allanton","0_10",2.43166724738676e-06,3.16116742160279e-06,1.45900034843206e-06,NA,NA,54.9826983159118,NA,NA,4,4.1,1.3509262485482,0.246635757280942,21.2,6.2,7.8,0
"allanton","10_20",9.0578660714286e-07,1.17752258928572e-06,3.62314642857144e-07,NA,NA,18.1157321428572,NA,NA,4.3,4.6,1.5096443452381,0.210069553241103,95.2,6.5,2,0
"allanton","20_40",1.20083708355137e-06,1.17081615646258e-06,7.20502250130821e-07,NA,NA,38.5768913090877,NA,NA,4.5,4.55,1.50104635443921,0.215883238671701,17.25,8.15,3.05,0
"allanton","40_100",4.59221033132487e-06,0,1.14805258283122e-06,NA,NA,30.6147355421658,NA,NA,4.72,4.8,1.59451747615447,0.19649269329816,68.1,7,2.68,0
"angelina","0_10",0.000257652,2.02878e-05,7.27056e-05,0,2.1114,NA,21.42,71,4,4.4,1.53,0.246635757280942,30.2,40.5,29.3,0
"angelina","10_20",0.000274995051718103,2.28552094129057e-05,8.50037980856917e-05,1.46507752646832e-08,2.07308469995267,NA,15.6030756568876,73,4.05,4.55,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"angelina","20_40",0.00074934,6.49428e-05,0.0002480424,7.24e-08,5.249,NA,26.426,75,4.1,4.7,1.81,0.215883238671701,16.6,42.1,41.3,0
"angelina","40_100",0.001142196,6.88168000000001e-05,0.000399463200000001,7.46533333333335e-07,7.77073333333335,NA,39.0233333333334,69,3.93333333333333,4.7,1.69666666666667,0.0550757054728611,52.5333333333333,22.9666666666667,24.5,0
"appling","0_10",8.94853547038328e-06,3.2876141184669e-06,1.55626703832753e-06,NA,1.47196924041812,31.2550296864112,21.1392939372822,13,4.05,4.3,1.3509262485482,0.246635757280942,65.0666666666667,21.1333333333333,12.6,4
"appling","10_20",8.72574431547622e-05,1.26583678348215e-05,1.67570522321429e-05,NA,0.837852611607146,3.17025312500001,7.24629285714288,14.3333333333333,4.5,5.15,1.5096443452381,0.210069553241103,31.175,38.425,15.125,0
"appling","20_40",3.00209270887842e-06,2.92704039115646e-05,1.98138118785976e-05,NA,1.3209207919065,9.00627812663526,10.2071152101866,15.6666666666667,4.36666666666667,4.3,1.50104635443921,0.215883238671701,36.8,20.6,42.6,0
"appling","40_100",2.38926136363636e-05,4.95723947727273e-05,4.64472409090909e-05,NA,2.48483181818182,10.7038909090909,15.2912727272727,17,4.23333333333333,4.89090909090909,1.31,0.19649269329816,42.0181818181818,25.5,32.9090909090909,2.72727272727273
"arkana","0_10",0.000233034777874565,1.67937019272648e-05,5.43072351916376e-05,2.16148199767712e-05,NA,37.7415020688154,NA,70.5,5.29333333333333,5.775,1.3509262485482,0.246635757280942,26.26875,54.1375,19.6,0
"arkana","10_20",0.000282087829081634,1.76628388392858e-05,7.6603667346939e-05,2.41543095238096e-05,NA,28.6832425595239,NA,68.8571428571429,5.03333333333333,5.85714285714286,1.5096443452381,0.210069553241103,26.5285714285714,49.4571428571429,24.0142857142857,0
"arkana","20_40",0.000647503995841251,4.19028940207662e-05,0.000244591553333884,4.80334833420547e-05,NA,39.6592247330781,NA,74.7647058823529,5.40588235294118,5.94736842105263,1.50104635443921,0.215883238671701,19.9578947368421,39.3421052631579,40.6947368421053,0
"arkana","40_100",0.0032305785968228,0.000168406902522066,0.00152349680586521,8.86551716741885e-05,NA,66.1940227938721,NA,88.1875,6.06363636363636,6.35135135135135,1.59451747615447,0.19649269329816,11.5108108108108,26.2378378378378,62.2378378378378,0
"ashe","0_10",0.00012722556,1.687686e-05,2.171568e-05,NA,NA,26.90856,NA,39.3333333333333,4.6,5.03333333333333,1.26,0.246635757280942,48.7666666666667,35.2333333333333,16,6.33333333333333
"ashe","10_20",2.35232781875001e-05,1.211670744375e-05,1.1894789725e-05,NA,NA,6.87944928125002,NA,20,4.25,4.85,1.5096443452381,0.210069553241103,49.2,36.75,14.05,2
"ashe","20_40",1.25136e-05,6.10038e-05,3.003264e-05,NA,NA,9.69804,NA,15,4.3,5,1.58,0.215883238671701,63.5,22.7,13.8,1
"ashe","40_100",0.00016006896,0.000165701016,0.0002677301568,NA,NA,12.84504,NA,38.75,4.3,5.02,1.79,0.19649269329816,59.06,27.64,13.3,8
"ashlar","0_10",8.68852656200779e-06,2.0536517328382e-06,1.73770531240156e-06,NA,0.539741801579272,11.1897690571312,NA,14,4.3,4.6,1.3509262485482,0.246635757280942,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966
"ashlar","10_20",9.66951167469089e-06,2.28552094129057e-06,1.93390233493818e-06,NA,0.60068178585201,12.4531589749807,NA,14,4.3,4.6,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"ashlar","20_40",1.782264e-05,4.212624e-06,3.564528e-06,NA,1.107164,22.9534,NA,14,4.3,4.6,1.57,0.215883238671701,74.2,20.1,5.7,14
"ashlar","40_100",8.0073e-05,0,1.24992e-05,NA,1.4973,19.53,NA,33.5,4.45,5.1,1.55,0.19649269329816,75.2,19.4,5.4,30
"attoyac","0_10",4.73290422222222e-05,1.3305201e-05,6.36830133333333e-06,9.7474e-07,0.438633,7.87914833333333,11.0470533333333,70.5,5,5.73333333333333,1.63,0.226274169979695,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333
"attoyac","10_20",4.8486735e-05,4.2837795e-06,6.684579e-06,2.07912375e-06,0.69827175,13.965435,8.002665,66,4.45,4.95,1.585,0.134350288425444,72.75,24.25,3,1
"attoyac","20_40",0.000137861059555556,2.60501557333333e-05,2.14839872e-05,6.73427733333333e-06,0.992074026666667,9.39513813333333,31.7003786666667,70.8,4.94,5.51666666666667,1.648,0.122351951353462,61.2333333333333,30.45,8.31666666666667,0.333333333333333
"attoyac","40_100",0.000585895613057851,0.000169845854132231,0.000166187635735537,1.80975354545455e-06,2.05308175324675,17.1394306363636,17.3878281818182,68.1111111111111,4.73333333333333,5.37272727272727,1.7775,0.0337003603202442,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182
"bayboro","0_10",0.000226955609756098,3.16116742160279e-05,5.0254456445993e-05,NA,NA,139.145403600465,NA,38,NA,4.3,1.3509262485482,0.246635757280942,44.8,20.4,34.8,0
"bayboro","10_20",0.000141906568452381,2.74755270833334e-05,3.93715245238097e-05,NA,NA,117.95354484127,NA,25,NA,4.5,1.5096443452381,0.210069553241103,36,31.2666666666667,32.7333333333333,0
"bayboro","20_40",6.00418541775684e-05,1.75622423469388e-05,7.38514806384091e-05,NA,NA,28.519880734345,NA,30,NA,4.2,1.50104635443921,0.215883238671701,31.95,32.85,35.2,0
"bayboro","40_100",0.00153924087031445,7.87691633220308e-05,0.000340588932906595,NA,NA,56.0207139955604,NA,59,NA,4.47777777777778,1.59451747615447,0.19649269329816,26.6666666666667,24.5,48.8333333333333,0
"beauregard","0_10",7.55122905555555e-05,6.07212233333333e-06,9.396678e-06,NA,1.69662241666667,24.5220325,NA,45.8333333333333,4.9,5.21666666666667,1.39,0.246635757280942,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667
"beauregard","10_20",2.25456e-05,1.5444e-06,8.52192e-06,NA,0.37224,7.8936,NA,27.8333333333333,4.53333333333333,5.08333333333333,1.6,0.210069553241103,36.0666666666667,54.7,9.23333333333333,1
"beauregard","20_40",2.983068e-05,7.505784e-06,2.1041856e-05,NA,0.657558,8.019,NA,17.6666666666667,4.575,4.83333333333333,1.62,0.215883238671701,30.8166666666667,52.3666666666667,16.8166666666667,1
"beauregard","40_100",0.000105020342857143,2.61973028571429e-05,9.51683657142859e-05,NA,1.61792,15.2402285714286,NA,19.4285714285714,4.47,4.95714285714286,1.70666666666667,0.0850490054811538,27.90625,52.375,19.71875,1.25
"benndale","0_10",3.1817115e-05,8.60888925e-06,8.768736e-06,NA,NA,17.65926,NA,27,NA,5.3,1.53,0.246635757280942,71.4,18.95,9.65,0.5
"benndale","10_20",2.25621939076121e-05,6.14233752971842e-06,5.53799305005023e-06,NA,NA,10.1090349326314,NA,26,NA,5.125,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"benndale","20_40",3.2274e-05,8.8998e-06,5.868e-06,NA,NA,7.172,NA,25,NA,4.95,1.63,0.215883238671701,64.15,20.1,15.75,0
"benndale","40_100",6.28939584e-05,2.672993232e-05,1.959388704e-05,NA,NA,2.351804,NA,25.5,NA,5.1,1.69,0.0173205080756888,69.12,17.16,13.72,0.6
"bernaldo","0_10",0.000117620645373597,7.72729814169571e-06,1.26446696864112e-05,5.13351974448316e-07,2.22227367886179,NA,38.1411510840109,69.3333333333333,4.3,5.36666666666667,1.3509262485482,0.246635757280942,62.0666666666667,35.5,2.43333333333333,0
"bernaldo","10_20",3.744e-05,5.616e-06,8.64e-06,3.288e-07,1.2372,NA,4.896,86,4.51666666666667,5.8,1.44,0.210069553241103,52.3,42.1,5.6,0
