"soil_name","horizon","total_ca_horizon","total_k_horizon","total_mg_horizon","total_p_horizon","total_n_horizon","total.org.c","total_c_soil","base_sat","ph.cacl","ph.h2o","bulk_density","bulk_density_sd","sand","silt","clay","frag"
"acadia","0_10",0.0024147,0.000107,1e-07,NA,8e-07,NA,NA,19,3.9,4.5,1.4,0.246635757280942,58.5,36.4,5.1,2
"acadia","10_20",0.003106,0.0002571,1e-07,NA,6e-07,NA,NA,23.5,4,4.65,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"acadia","20_40",0.0078745,0.0008668,4e-07,NA,7e-07,NA,NA,28,4.1,4.8,1.62,0.215883238671701,40.9,37.5,21.6,2
"acadia","40_100",0.0402242,0.0068025,4.1e-06,NA,2.5e-06,NA,NA,39.3333333333333,4.13333333333333,5.1,1.81,0.05,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667
"albany","0_10",0.0126081,0.0012497,2e-07,4.02976,9e-07,1.788,18.4188616111111,41.5,4.5,4.95,1.6,0.246635757280942,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556
"albany","10_20",0.0017814,0.000286,0,3.5552124,6e-07,NA,10.4945,40,4.84285714285714,5.4,1.5096443452381,0.210069553241103,45.6285714285714,5.97142857142857,2.24285714285714,0
"albany","20_40",0.0006606,0.0029761,1e-07,7.3980877,5e-07,0.6418,9.37398933333333,38.5,4.87222222222222,5.38333333333333,1.69,0.014142135623731,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556
"albany","40_100",0.0017783,0.0091022,2e-07,7.7668005,6e-07,0.2546,4.34421886792453,42.6,4.93207547169811,5.4811320754717,1.74666666666667,0.0956382071489562,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075
"allanton","0_10",0.0002432,0.0003161,0,NA,NA,NA,NA,NA,4,4.1,1.3509262485482,0.246635757280942,21.2,6.2,7.8,0
"allanton","10_20",9.06e-05,0.0001178,0,NA,NA,NA,NA,NA,4.3,4.6,1.5096443452381,0.210069553241103,95.2,6.5,2,0
"allanton","20_40",0.0001201,0.0001171,0,NA,NA,NA,NA,NA,4.5,4.55,1.50104635443921,0.215883238671701,17.25,8.15,3.05,0
"allanton","40_100",0.0004592,NA,0,NA,NA,NA,NA,NA,4.72,4.8,1.59451747615447,0.19649269329816,68.1,7,2.68,0
"angelina","0_10",1.28826,0.05202,6.06e-05,NA,2.1e-06,NA,21.0097,71,4,4.4,1.53,0.246635757280942,30.2,40.5,29.3,0
"angelina","10_20",1.3749753,0.0586031,7.08e-05,NA,2.1e-06,NA,16.7662793891581,73,4.05,4.55,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"angelina","20_40",3.7467,0.16652,0.0002067,NA,5.2e-06,NA,25.8882,75,4.1,4.7,1.81,0.215883238671701,16.6,42.1,41.3,0
"angelina","40_100",5.71098,0.1764533,0.0003329,NA,7.8e-06,NA,37.3452,69,3.93333333333333,4.7,1.69666666666667,0.0550757054728611,52.5333333333333,22.9666666666667,24.5,0
"appling","0_10",0.0005966,0.0002192,0,NA,1.5e-06,3.1255,18.68928,13,4.05,4.3,1.3509262485482,0.246635757280942,65.0666666666667,21.1333333333333,12.6,4
"appling","10_20",0.0043629,0.0006329,1e-07,NA,8e-07,0.317,6.8992,14.3333333333333,4.5,5.15,1.5096443452381,0.210069553241103,31.175,38.425,15.125,0
"appling","20_40",0.0003002,0.002927,2e-07,NA,1.3e-06,NA,3.3115,15.6666666666667,4.36666666666667,4.3,1.50104635443921,0.215883238671701,36.8,20.6,42.6,0
"appling","40_100",0.0017376,0.0036053,3e-07,NA,2.5e-06,0.1784,0.461753636363636,17,4.23333333333333,4.89090909090909,1.31,0.19649269329816,42.0181818181818,25.5,32.9090909090909,2.72727272727273
"arkana","0_10",0.5702429,0.0203416,2.21e-05,21.61482,NA,NA,NA,70.5,5.29333333333333,5.775,1.3509262485482,0.246635757280942,26.26875,54.1375,19.6,0
"arkana","10_20",1.0891868,0.0390718,4.44e-05,24.1543095,NA,NA,NA,68.8571428571429,5.03333333333333,5.85714285714286,1.5096443452381,0.210069553241103,26.5285714285714,49.4571428571429,24.0142857142857,0
"arkana","20_40",1.9956648,0.0588537,0.0001222,48.0334833,NA,NA,NA,74.7647058823529,5.40588235294118,5.94736842105263,1.50104635443921,0.215883238671701,19.9578947368421,39.3421052631579,40.6947368421053,0
"arkana","40_100",9.4986354,0.2529025,0.0007303,88.6551717,NA,NA,NA,88.1875,6.06363636363636,6.35135135135135,1.59451747615447,0.19649269329816,11.5108108108108,26.2378378378378,62.2378378378378,0
"ashe","0_10",0.0124078,0.0012274,2e-07,NA,NA,NA,NA,39.3333333333333,4.6,5.03333333333333,1.26,0.246635757280942,48.7666666666667,35.2333333333333,16,6.33333333333333
"ashe","10_20",0.0013167,0.0006347,1e-07,NA,NA,NA,NA,20,4.25,4.85,1.5096443452381,0.210069553241103,49.2,36.75,14.05,2
"ashe","20_40",NA,NA,NA,NA,NA,NA,NA,15,4.3,5,1.58,0.215883238671701,63.5,22.7,13.8,1
"ashe","40_100",0.0037547,0.0034682,1.1e-06,NA,NA,NA,NA,38.75,4.3,5.02,1.79,0.19649269329816,59.06,27.64,13.3,8
"ashlar","0_10",0.0008689,0.0002054,0,NA,5e-07,NA,NA,14,4.3,4.6,1.3509262485482,0.246635757280942,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966
"ashlar","10_20",0.000967,0.0002286,0,NA,6e-07,NA,NA,14,4.3,4.6,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"ashlar","20_40",0.0017823,0.0004213,0,NA,1.1e-06,NA,NA,14,4.3,4.6,1.57,0.215883238671701,74.2,20.1,5.7,14
"ashlar","40_100",0.0080073,NA,1e-07,NA,1.5e-06,NA,NA,33.5,4.45,5.1,1.55,0.19649269329816,75.2,19.4,5.4,30
"attoyac","0_10",0.0949505,0.012259,2.2e-06,NA,4e-07,0.7879,15.5729166666667,70.5,5,5.73333333333333,1.63,0.226274169979695,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333
"attoyac","10_20",0.0048487,0.0004284,1e-07,NA,7e-07,1.3965,13.490829,66,4.45,4.95,1.585,0.134350288425444,72.75,24.25,3,1
"attoyac","20_40",0.284745,0.019968,4.8e-06,NA,1e-06,0.4698,22.1754346666667,70.8,4.94,5.51666666666667,1.648,0.122351951353462,61.2333333333333,30.45,8.31666666666667,0.333333333333333
"attoyac","40_100",0.2368938,0.0411656,8.3e-06,NA,2.1e-06,0.2857,39.5142250909091,68.1111111111111,4.73333333333333,5.37272727272727,1.7775,0.0337003603202442,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182
"bayboro","0_10",0.0226956,0.0031612,5e-07,NA,NA,NA,NA,38,NA,4.3,1.3509262485482,0.246635757280942,44.8,20.4,34.8,0
