"soil_name","horizon","sand","silt","clay","frag","bulk_density","bulk_density_sd","n","n_per","n_g_m2","total_n_horizon"
"acadia","0_10",58.5,36.4,5.1,2,1.4,0.246635757280942,1,0.057,7.8204e-06,8e-05
"acadia","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.04,5.86031010587326e-06,6e-05
"acadia","20_40",40.9,37.5,21.6,2,1.62,0.215883238671701,1,0.023,3.65148e-06,7e-05
"acadia","40_100",35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,1.81,0.05,3,0.023,4.09361666666667e-06,0.00025
"albany","0_10",46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,1.6,0.246635757280942,1,0.058,9.27484444444444e-06,9e-05
"albany","10_20",45.6285714285714,5.97142857142857,2.24285714285714,0,1.5096443452381,0.210069553241103,0,0.037,5.58568407738097e-06,6e-05
"albany","20_40",57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,1.69,0.014142135623731,2,0.016,2.70249777777778e-06,5e-05
"albany","40_100",53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,1.74666666666667,0.0956382071489562,6,0.0055,9.59941635220128e-07,6e-05
"allanton","0_10",21.2,6.2,7.8,0,1.3509262485482,0.246635757280942,0,NA,NA,NA
"allanton","10_20",95.2,6.5,2,0,1.5096443452381,0.210069553241103,0,NA,NA,NA
"allanton","20_40",17.25,8.15,3.05,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"allanton","40_100",68.1,7,2.68,0,1.59451747615447,0.19649269329816,0,NA,NA,NA
"angelina","0_10",30.2,40.5,29.3,0,1.53,0.246635757280942,1,0.138,2.1114e-05,0.00021
"angelina","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.1415,2.07308469995267e-05,0.00021
"angelina","20_40",16.6,42.1,41.3,0,1.81,0.215883238671701,1,0.145,2.6245e-05,0.00052
"angelina","40_100",52.5333333333333,22.9666666666667,24.5,0,1.69666666666667,0.0550757054728611,3,0.0763333333333333,1.29512222222222e-05,0.00078
"appling","0_10",65.0666666666667,21.1333333333333,12.6,4,1.3509262485482,0.246635757280942,0,0.1135,1.47196924041812e-05,0.00015
"appling","10_20",31.175,38.425,15.125,0,1.5096443452381,0.210069553241103,0,0.0555,8.37852611607146e-06,8e-05
"appling","20_40",36.8,20.6,42.6,0,1.50104635443921,0.215883238671701,0,0.044,6.60460395953252e-06,0.00013
"appling","40_100",42.0181818181818,25.5,32.9090909090909,2.72727272727273,1.31,0.19649269329816,1,0.0325,4.14138636363636e-06,0.00025
"arkana","0_10",26.26875,54.1375,19.6,0,1.3509262485482,0.246635757280942,0,NA,NA,NA
"arkana","10_20",26.5285714285714,49.4571428571429,24.0142857142857,0,1.5096443452381,0.210069553241103,0,NA,NA,NA
"arkana","20_40",19.9578947368421,39.3421052631579,40.6947368421053,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"arkana","40_100",11.5108108108108,26.2378378378378,62.2378378378378,0,1.59451747615447,0.19649269329816,0,NA,NA,NA
"ashe","0_10",48.7666666666667,35.2333333333333,16,6.33333333333333,1.26,0.246635757280942,1,NA,NA,NA
"ashe","10_20",49.2,36.75,14.05,2,1.5096443452381,0.210069553241103,0,NA,NA,NA
"ashe","20_40",63.5,22.7,13.8,1,1.58,0.215883238671701,1,NA,NA,NA
"ashe","40_100",59.06,27.64,13.3,8,1.79,0.19649269329816,1,NA,NA,NA
"ashlar","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.3509262485482,0.246635757280942,0,0.041,5.39741801579272e-06,5e-05
"ashlar","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.041,6.0068178585201e-06,6e-05
"ashlar","20_40",74.2,20.1,5.7,14,1.57,0.215883238671701,1,0.041,5.53582e-06,0.00011
"ashlar","40_100",75.2,19.4,5.4,30,1.55,0.19649269329816,1,0.023,2.4955e-06,0.00015
"attoyac","0_10",64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,1.63,0.226274169979695,2,0.027,4.38633e-06,4e-05
"attoyac","10_20",72.75,24.25,3,1,1.585,0.134350288425444,2,0.0445,6.9827175e-06,7e-05
"attoyac","20_40",61.2333333333333,30.45,8.31666666666667,0.333333333333333,1.648,0.122351951353462,5,0.0302,4.96037013333333e-06,1e-04
"attoyac","40_100",49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,1.7775,0.0337003603202442,8,0.0192857142857143,3.42180292207792e-06,0.00021
"bayboro","0_10",44.8,20.4,34.8,0,1.3509262485482,0.246635757280942,0,NA,NA,NA
"bayboro","10_20",36,31.2666666666667,32.7333333333333,0,1.5096443452381,0.210069553241103,0,NA,NA,NA
"bayboro","20_40",31.95,32.85,35.2,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"bayboro","40_100",26.6666666666667,24.5,48.8333333333333,0,1.59451747615447,0.19649269329816,0,NA,NA,NA
"beauregard","0_10",39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,1.39,0.246635757280942,1,0.1235,1.69662241666667e-05,0.00017
"beauregard","10_20",36.0666666666667,54.7,9.23333333333333,1,1.6,0.210069553241103,1,0.0235,3.7224e-06,4e-05
"beauregard","20_40",30.8166666666667,52.3666666666667,16.8166666666667,1,1.62,0.215883238671701,1,0.0205,3.28779e-06,7e-05
"beauregard","40_100",27.90625,52.375,19.71875,1.25,1.70666666666667,0.0850490054811538,3,0.016,2.69653333333334e-06,0.00016
"benndale","0_10",71.4,18.95,9.65,0.5,1.53,0.246635757280942,1,NA,NA,NA
"benndale","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"benndale","20_40",64.15,20.1,15.75,0,1.63,0.215883238671701,1,NA,NA,NA
"benndale","40_100",69.12,17.16,13.72,0.6,1.69,0.0173205080756888,3,NA,NA,NA
"bernaldo","0_10",62.0666666666667,35.5,2.43333333333333,0,1.3509262485482,0.246635757280942,0,0.1645,2.22227367886179e-05,0.00022
"bernaldo","10_20",52.3,42.1,5.6,0,1.44,0.210069553241103,1,0.0859166666666667,1.2372e-05,0.00012
"bernaldo","20_40",56.625,37.875,5.5,0,1.51,0.0800000000000001,3,0.00733333333333333,1.10733333333333e-06,2e-05
"bernaldo","40_100",41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,1.67142857142857,0.0817370930542087,7,0.0152,2.53694204081632e-06,0.00015
"besner","0_10",66,31.2,2.8,0,1.24,0.246635757280942,1,NA,NA,NA
"besner","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"besner","20_40",65.45,31.85,2.7,0,1.47,0.014142135623731,2,NA,NA,NA
"besner","40_100",61.6,35.62,2.78,0,1.688,0.148895936814945,5,NA,NA,NA
"bethera","0_10",48.9,54.65,31.7,0,1.27,0.246635757280942,1,0.278,3.5306e-05,0.00035
"bethera","10_20",6.8,51.5,24.3,0,1.5096443452381,0.210069553241103,0,0.211,3.18534956845239e-05,0.00032
"bethera","20_40",46.1,49.95,38.55,0,1.34,0.215883238671701,1,0.144,1.9296e-05,0.00039
"bethera","40_100",15.5666666666667,30.1,53.9,0,1.74,0.19649269329816,1,0.062,1.0788e-05,0.00065
"betis","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.3509262485482,0.246635757280942,0,0.0525,6.91132794705165e-06,7e-05
"betis","10_20",90.85,7.35,1.8,0,1.5096443452381,0.210069553241103,0,0.0525,7.92563281250003e-06,8e-05
"betis","20_40",84.3,13.1,2.6,0,1.50104635443921,0.215883238671701,0,0.018,2.70188343799058e-06,5e-05
"betis","40_100",86.76,9.2,4.04,0,1.72,0.19649269329816,1,0.0205,3.526e-06,0.00021
"bibb","0_10",70.375,21.9,7.725,0,1.3509262485482,0.246635757280942,0,0.253,3.41784340882695e-05,0.00034
"bibb","10_20",48.3,37.55,14.05,0,1.5096443452381,0.210069553241103,0,0.178666666666667,2.69723123015874e-05,0.00027
"bibb","20_40",61.52,27.56,10.88,0,1.14,0.215883238671701,1,0.104333333333333,1.1894e-05,0.00024
"bibb","40_100",76.28,15.69,7.99,0.2,1.38,0.127279220613579,2,0.0803333333333333,1.1063828e-05,0.00066
"blanton","0_10",54.0944444444444,6.24736842105263,2.58947368421053,0,1.45,0.246635757280942,1,0.103,1.4935e-05,0.00015
"blanton","10_20",64.475,8.375,2.9875,0,1.5096443452381,0.210069553241103,0,0.044,6.64243511904764e-06,7e-05
"blanton","20_40",51.1769230769231,7.76428571428571,3.35714285714286,0,1.50104635443921,0.215883238671701,0,0.023,3.45240661521018e-06,7e-05
"blanton","40_100",58.4387755102041,6.66734693877551,2.73877551020408,0,1.57,0.0264575131106459,3,0.0076,1.1932e-06,7e-05
"bonneau","0_10",76.54,11.3454545454545,4.59090909090909,1.81818181818182,1.66,0.246635757280942,1,0.1756,2.86196072727273e-05,0.00029
"bonneau","10_20",75.9833333333333,8.43333333333333,2.73333333333333,4.16666666666667,1.81,0.210069553241103,1,0.041,7.11179166666667e-06,7e-05
"bonneau","20_40",65.4692307692308,11.6076923076923,6.16923076923077,1.46153846153846,1.50104635443921,0.215883238671701,0,0.022,3.25403756621583e-06,7e-05
"bonneau","40_100",55.8648148148148,9.37592592592593,18.2851851851852,1.18518518518519,1.64,0.0299999999999999,3,0.0242608695652174,3.93162666666667e-06,0.00024
"boulogne","0_10",59.3333333333333,4.66666666666667,1.86666666666667,0,1.3509262485482,0.246635757280942,0,NA,NA,NA
"boulogne","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"boulogne","20_40",33.675,5.22,2.54,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"boulogne","40_100",67.5444444444445,4.33,2.65,0,1.59451747615447,0.19649269329816,0,NA,NA,NA
"bude","0_10",24.4,65.55,10.05,0,1.54,0.127279220613579,2,NA,NA,NA
"bude","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"bude","20_40",16.15,64.55,19.3,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"bude","40_100",14.8888888888889,61.2222222222222,23.8888888888889,0,1.675,0.124766448481419,4,NA,NA,NA
"burton","0_10",55.0444444444444,29.3111111111111,20.5125,11.7777777777778,0.7225,0.12737739202857,4,0.9442,6.01838325555555e-05,6e-04
"burton","10_20",55.35,28.125,16.525,5.25,0.935,0.275771644662753,2,0.4025,3.5657978125e-05,0.00036
"burton","20_40",54.7625,30.6875,14.55,15.75,1.046,0.114367827643966,5,0.278,2.4498889e-05,0.00049
"burton","40_100",56.1636363636364,30.5181818181818,13.3181818181818,10.7272727272727,1.27166666666667,0.0847152091815081,6,0.0782,8.87766684848488e-06,0.00053
"caddo","0_10",24.4285714285714,69.4571428571429,6.11428571428571,0.714285714285714,1.465,0.0494974746830584,2,0.0675,9.81811607142857e-06,1e-04
"caddo","10_20",19.1,69.575,11.325,0.5,1.6,0.210069553241103,1,0.0286666666666667,4.56373333333333e-06,5e-05
"caddo","20_40",21.4,66.675,11.925,0.25,1.685,0.0212132034355964,2,0.02,3.361575e-06,7e-05
"caddo","40_100",18.26875,63.74375,17.9875,0.3125,1.7075,0.0713559154286921,4,0.0155,2.638354296875e-06,0.00016
"cahaba","0_10",51.35,34.175,14.4666666666667,0,1.4,0.0556776436283002,3,0.1812,2.5368e-05,0.00025
"cahaba","10_20",51.3,31.5,17.2,0,1.37,0.210069553241103,1,0.175,2.3975e-05,0.00024
"cahaba","20_40",47.9466666666667,32.9,19.14,0,1.47333333333333,0.0757187779440037,3,0.09325,1.37388333333333e-05,0.00027
"cahaba","40_100",46.1545454545455,28.3606060606061,25.469696969697,0,1.526,0.0439317652729776,5,0.0772,1.178072e-05,0.00071
"carnasaw","0_10",27.6,61.4,10.975,8.25,1.5,0.325269119345812,2,NA,NA,NA
"carnasaw","10_20",29.775,56.975,14.3,9.75,1.59,0.0565685424949237,2,NA,NA,NA
"carnasaw","20_40",11.4333333333333,36.4666666666667,52.0666666666667,4.66666666666667,1.43333333333333,0.155349069303081,3,NA,NA,NA
"carnasaw","40_100",15.6923076923077,33.7153846153846,51.8769230769231,5.61538461538461,1.55142857142857,0.110064915910047,7,NA,NA,NA
"cartecay","0_10",53.1,26,20.9,0,1.3509262485482,0.246635757280942,0,NA,NA,NA
"cartecay","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"cartecay","20_40",71.2,16.3,12.5,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"cartecay","40_100",69,18.8,12.2,0,1.59451747615447,0.19649269329816,0,NA,NA,NA
"cashiers","0_10",54.6,25.6,19.8,8,1.3509262485482,0.246635757280942,0,0.308,3.82798461788618e-05,0.00038
"cashiers","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,0.221,3.23782133349498e-05,0.00032
"cashiers","20_40",59.3,23,17.7,9,1.04,0.215883238671701,1,0.134,1.268176e-05,0.00025
"cashiers","40_100",66.4,18.5,15.1,7.5,1.31,0.0989949493661166,2,0.064,7.7552e-06,0.00047
"cataula","0_10",66.2,18.5,15.3,4,1.39,0.246635757280942,1,0.136,1.814784e-05,0.00018
"cataula","10_20",68,18,14,11,1.72,0.210069553241103,1,0.045,6.8886e-06,7e-05
"cataula","20_40",36.7,13.5,49.8,4,1.51,0.215883238671701,1,0.071,1.029216e-05,0.00021
"cataula","40_100",32.0333333333333,15.6,52.3666666666667,2.66666666666667,1.505,0.120208152801713,2,0.0333333333333333,4.88288888888889e-06,0.00029
