"soil_name","horizon","ph"
"burton","20_40",4.18
"burton","40_100",4.52857142857143
"sapelo","0_10",3.44285714285714
"sapelo","10_20",3.5
"sapelo","20_40",3.81
"sapelo","40_100",4.20877192982456
"mattex","0_10",3.9
"mattex","10_20",4.175
"mattex","20_40",4.45
"mattex","40_100",3.8
"cowee","0_10",4.6
"cowee","10_20",4.9
"cowee","20_40",5.2
"cowee","40_100",5.4
"ouachita","0_10",4.8
"ouachita","10_20",4.8
"ouachita","20_40",4.1
"ouachita","40_100",3.8
"mascotte","0_10",3.35
"mascotte","10_20",3.3
"mascotte","20_40",3.95
"mascotte","40_100",4.16
"kolin","0_10",4.53333333333333
"kolin","10_20",4.6
"kolin","20_40",4.4
"kolin","40_100",4.2
"escambia","0_10",4
"escambia","10_20",4.025
"escambia","20_40",4.12
"escambia","40_100",4.01538461538462
"tippah","0_10",4.2
"tippah","10_20",4.225
"tippah","20_40",4.25
"tippah","40_100",4.2
"mecklenburg","0_10",5.7
"mecklenburg","10_20",6.15
"mecklenburg","20_40",6.6
"mecklenburg","40_100",5.25
"estate","0_10",5.35
"estate","10_20",4.3
"estate","20_40",4.3
"estate","40_100",4.07142857142857
"olustee","0_10",3.525
"olustee","10_20",3.8925
"olustee","20_40",4.26
"olustee","40_100",4.46363636363636
"duplin","0_10",4.65
"duplin","10_20",4.9
"duplin","20_40",4.9
"duplin","40_100",4.22857142857143
"tate","0_10",3.63333333333333
"tate","10_20",4.2
"tate","20_40",4.05
"tate","40_100",4.26
"lucy","0_10",4.975
"lucy","10_20",4.7
"lucy","20_40",4.88
"lucy","40_100",4.68
"guyton","0_10",4.08333333333333
"guyton","10_20",4.6
"guyton","20_40",3.9
"guyton","40_100",4.03333333333333
"fannin","0_10",4.61666666666667
"fannin","10_20",4.5
"fannin","20_40",4.48
"fannin","40_100",4.73157894736842
"rosman","0_10",4.65
"rosman","10_20",5.7
"rosman","20_40",4.9
"rosman","40_100",5.45555555555556
"bude","0_10",NA
"bude","10_20",NA
"bude","20_40",NA
"bude","40_100",NA
"madison","0_10",4.95
"madison","10_20",5.05
"madison","20_40",5.02
"madison","40_100",4.57272727272727
"ashe","0_10",4.6
"ashe","10_20",4.25
"ashe","20_40",4.3
"ashe","40_100",4.3
"reddies","0_10",4.225
"reddies","10_20",4.56666666666667
"reddies","20_40",4.525
"reddies","40_100",5.18181818181818
"tuckasegee","0_10",4.4
"tuckasegee","10_20",4.4
"tuckasegee","20_40",4.6
"tuckasegee","40_100",4.46666666666667
"dorovan","0_10",3.2
"dorovan","10_20",3.2
"dorovan","20_40",3.3
"dorovan","40_100",3.4
"bernaldo","0_10",4.3
"bernaldo","10_20",4.51666666666667
"bernaldo","20_40",4.73333333333333
"bernaldo","40_100",4.56
"attoyac","0_10",5
"attoyac","10_20",4.45
"attoyac","20_40",4.94
"attoyac","40_100",4.73333333333333
"wahee","0_10",6.3
"wahee","10_20",5.7
"wahee","20_40",5.1
"wahee","40_100",4.08
"carnasaw","0_10",6
"carnasaw","10_20",5.6
"carnasaw","20_40",3.9
"carnasaw","40_100",3.75
"mclaurin","0_10",4.2
"mclaurin","10_20",4.2
"mclaurin","20_40",4.3
"mclaurin","40_100",4.3
"lexington","0_10",4.15
"lexington","10_20",4.275
"lexington","20_40",4.4
"lexington","40_100",4.36666666666667
"ashlar","0_10",4.3
"ashlar","10_20",4.3
"ashlar","20_40",4.3
"ashlar","40_100",4.45
"chewacla","0_10",4.44
"chewacla","10_20",4.65
"chewacla","20_40",4.1
"chewacla","40_100",4.5
"saunook","0_10",5.3
"saunook","10_20",5.3
"saunook","20_40",5.26666666666667
"saunook","40_100",5.325
"sacul","0_10",4.3
"sacul","10_20",4.25
"sacul","20_40",4.2
"sacul","40_100",3.9
"providence","0_10",5.75
"providence","10_20",4.63333333333333
"providence","20_40",4.525
"providence","40_100",4.22
"helena","0_10",5.6
"helena","10_20",4.9
"helena","20_40",4.2
"helena","40_100",3.9
"gwinnett","0_10",NA
"gwinnett","10_20",NA
"gwinnett","20_40",NA
"gwinnett","40_100",NA
"woden","0_10",NA
"woden","10_20",NA
"woden","20_40",NA
"woden","40_100",NA
"angelina","0_10",4
"angelina","10_20",4.05
"angelina","20_40",4.1
"angelina","40_100",3.93333333333333
"toccoa","0_10",5.05
"toccoa","10_20",5.2
"toccoa","20_40",4.6
"toccoa","40_100",5.22
"bethera","0_10",3.95
"bethera","10_20",3.9
"bethera","20_40",4.15
"bethera","40_100",3.76666666666667
"whiteside","0_10",4.2
"whiteside","10_20",4.2
"whiteside","20_40",4.2
"whiteside","40_100",4.13333333333333
"townley","0_10",NA
"townley","10_20",NA
"townley","20_40",NA
"townley","40_100",NA
"enon","0_10",4.7
"enon","10_20",4.9
"enon","20_40",5.2
"enon","40_100",5.86
"latonia","0_10",4.6
"latonia","10_20",4.825
"latonia","20_40",5.05
"latonia","40_100",4.2
"louisburg","0_10",NA
"louisburg","10_20",NA
"louisburg","20_40",NA
"louisburg","40_100",NA
"mollville","0_10",4.1
"mollville","10_20",4.1
"mollville","20_40",3.8
"mollville","40_100",3.66666666666667
"vance","0_10",4.5
"vance","10_20",4.4
"vance","20_40",4.2
"vance","40_100",4.34
"besner","0_10",NA
"besner","10_20",NA
"besner","20_40",NA
"besner","40_100",NA
"wehadkee","0_10",4.7
"wehadkee","10_20",4.3
"wehadkee","20_40",4.55
"wehadkee","40_100",4.4
"harleston","0_10",NA
"harleston","10_20",NA
"harleston","20_40",NA
"harleston","40_100",NA
"chandler","0_10",4.2
"chandler","10_20",4.4
"chandler","20_40",4.8
"chandler","40_100",4.6
"craven","0_10",4.7
"craven","10_20",4.2
"craven","20_40",3.96666666666667
"craven","40_100",3.76
"wilkes","0_10",4.8
"wilkes","10_20",4.7
"wilkes","20_40",4.8
"wilkes","40_100",5.6
"kinston","0_10",4.1
"kinston","10_20",4.5
"kinston","20_40",4.575
"kinston","40_100",4.65
"plott","0_10",4.9
"plott","10_20",4.8
"plott","20_40",4.7
"plott","40_100",4.8
"unaka","0_10",4.2
"unaka","10_20",4.4
"unaka","20_40",4.3
"unaka","40_100",4.3
"pantego","0_10",4.7
"pantego","10_20",4.7
"pantego","20_40",3.95
"pantego","40_100",3.925
"cullasaja","0_10",4.4
"cullasaja","10_20",4.3
"cullasaja","20_40",4.46666666666667
"cullasaja","40_100",4.78571428571429
"glenmora","0_10",5.3
"glenmora","10_20",4.75
"glenmora","20_40",4.2
"glenmora","40_100",3.9
"benndale","0_10",NA
"benndale","10_20",NA
"benndale","20_40",NA
"benndale","40_100",NA
"udorthents","0_10",NA
"udorthents","10_20",NA
"udorthents","20_40",NA
"udorthents","40_100",NA
"toxaway","0_10",4.5
"toxaway","10_20",4.5
"toxaway","20_40",4.5
"toxaway","40_100",4.3
"congaree","0_10",NA
"congaree","10_20",NA
"congaree","20_40",NA
"congaree","40_100",4.6
"chestnut","0_10",4.46666666666667
"chestnut","10_20",4.38333333333333
"chestnut","20_40",4.3
"chestnut","40_100",4.36666666666667
"clebit","0_10",4.6
"clebit","10_20",4.4
"clebit","20_40",4.2
"clebit","40_100",4.2
"kingsferry","0_10",3.7
"kingsferry","10_20",4.1
"kingsferry","20_40",4.5
"kingsferry","40_100",4.48
"hard labor","0_10",NA
"hard labor","10_20",NA
"hard labor","20_40",NA
"hard labor","40_100",NA
"smithton","0_10",NA
"smithton","10_20",NA
"smithton","20_40",NA
"smithton","40_100",NA
"evard","0_10",4.2
"evard","10_20",4.25
"evard","20_40",4.3
"evard","40_100",4.55
"cashiers","0_10",4.5
"cashiers","10_20",4.55
"cashiers","20_40",4.6
"cashiers","40_100",4.5
"cataula","0_10",5.4
"cataula","10_20",5.3
"cataula","20_40",5.9
"cataula","40_100",5.83333333333333
"acadia","0_10",3.9
"acadia","10_20",4
"acadia","20_40",4.1
"acadia","40_100",4.13333333333333
"tusquitee","0_10",4.4
"tusquitee","10_20",4.4
"tusquitee","20_40",4.5
"tusquitee","40_100",4.55
"nikwasi","0_10",4.1
"nikwasi","10_20",4.25
"nikwasi","20_40",4.4
"nikwasi","40_100",4.53333333333333
