"soil_name","horizon","k_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","k_g_m2","total_k_horizon"
"acadia","0_10",0.00078,1.4,0.246635757280942,1,58.5,36.4,5.1,2,0.00107016,0.0107
"acadia","10_20",0.001755,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.00257121105895189,0.02571
"acadia","20_40",0.00273,1.62,0.215883238671701,1,40.9,37.5,21.6,2,0.004334148,0.08668
"acadia","40_100",0.00637,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,0.0113375383333333,0.68025
"albany","0_10",0.007815,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,0.0124970533333333,0.12497
"albany","10_20",0.00189428571428571,1.5096443452381,0.210069553241103,0,45.6285714285714,5.97142857142857,2.24285714285714,0,0.00285969771683674,0.0286
"albany","20_40",0.00881,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,0.0148806283888889,0.29761
"albany","40_100",0.00869188679245283,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,0.0151703709467189,0.91022
"allanton","0_10",0.00234,1.3509262485482,0.246635757280942,0,21.2,6.2,7.8,0,0.00316116742160279,0.03161
"allanton","10_20",0.00078,1.5096443452381,0.210069553241103,0,95.2,6.5,2,0,0.00117752258928572,0.01178
"allanton","20_40",0.00039,1.50104635443921,0.215883238671701,0,17.25,8.15,3.05,0,0.000585408078231292,0.01171
"allanton","40_100",0,1.59451747615447,0.19649269329816,0,68.1,7,2.68,0,0,NA
"angelina","0_10",0.34,1.53,0.246635757280942,1,30.2,40.5,29.3,0,0.5202,5.202
"angelina","10_20",0.4,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.586031010587327,5.86031
"angelina","20_40",0.46,1.81,0.215883238671701,1,16.6,42.1,41.3,0,0.8326,16.652
"angelina","40_100",0.173333333333333,1.69666666666667,0.0550757054728611,3,52.5333333333333,22.9666666666667,24.5,0,0.294088888888889,17.64533
"appling","0_10",0.00169,1.3509262485482,0.246635757280942,0,65.0666666666667,21.1333333333333,12.6,4,0.0021917427456446,0.02192
"appling","10_20",0.0041925,1.5096443452381,0.210069553241103,0,31.175,38.425,15.125,0,0.00632918391741073,0.06329
"appling","20_40",0.00975,1.50104635443921,0.215883238671701,0,36.8,20.6,42.6,0,0.0146352019557823,0.2927
"appling","40_100",0.00471545454545455,1.31,0.19649269329816,1,42.0181818181818,25.5,32.9090909090909,2.72727272727273,0.00600877512396694,0.36053
"arkana","0_10",0.150575,1.3509262485482,0.246635757280942,0,26.26875,54.1375,19.6,0,0.203415719875145,2.03416
"arkana","10_20",0.258814285714286,1.5096443452381,0.210069553241103,0,26.5285714285714,49.4571428571429,24.0142857142857,0,0.390717522895409,3.90718
"arkana","20_40",0.196042105263158,1.50104635443921,0.215883238671701,0,19.9578947368421,39.3421052631579,40.6947368421053,0,0.294268287421851,5.88537
"arkana","40_100",0.264345945945946,1.59451747615447,0.19649269329816,0,11.5108108108108,26.2378378378378,62.2378378378378,0,0.421504230561396,25.29025
"ashe","0_10",0.0104,1.26,0.246635757280942,1,48.7666666666667,35.2333333333333,16,6.33333333333333,0.01227408,0.12274
"ashe","10_20",0.00429,1.5096443452381,0.210069553241103,0,49.2,36.75,14.05,2,0.00634684675625002,0.06347
"ashe","20_40",0,1.58,0.215883238671701,1,63.5,22.7,13.8,1,0,NA
"ashe","40_100",0.00351,1.79,0.19649269329816,1,59.06,27.64,13.3,8,0.005780268,0.34682
"ashlar","0_10",0.00156,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.0020536517328382,0.02054
"ashlar","10_20",0.00156,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.00228552094129057,0.02286
"ashlar","20_40",0.00156,1.57,0.215883238671701,1,74.2,20.1,5.7,14,0.002106312,0.04213
"ashlar","40_100",0,1.55,0.19649269329816,1,75.2,19.4,5.4,30,0,NA
"attoyac","0_10",0.07546,1.63,0.226274169979695,2,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,0.122589800666667,1.2259
"attoyac","10_20",0.00273,1.585,0.134350288425444,2,72.75,24.25,3,1,0.0042837795,0.04284
"attoyac","20_40",0.060785,1.648,0.122351951353462,5,61.2333333333333,30.45,8.31666666666667,0.333333333333333,0.0998397677333333,1.9968
"attoyac","40_100",0.0386690909090909,1.7775,0.0337003603202442,8,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,0.0686093376198347,4.11656
"bayboro","0_10",0.0234,1.3509262485482,0.246635757280942,0,44.8,20.4,34.8,0,0.0316116742160279,0.31612
"bayboro","10_20",0.0182,1.5096443452381,0.210069553241103,0,36,31.2666666666667,32.7333333333333,0,0.0274755270833334,0.27476
"bayboro","20_40",0.00585,1.50104635443921,0.215883238671701,0,31.95,32.85,35.2,0,0.00878112117346938,0.17562
"bayboro","40_100",0.00823333333333333,1.59451747615447,0.19649269329816,0,26.6666666666667,24.5,48.8333333333333,0,0.0131281938870051,0.78769
"beauregard","0_10",0.00442,1.39,0.246635757280942,1,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,0.00607212233333333,0.06072
"beauregard","10_20",0.000975,1.6,0.210069553241103,1,36.0666666666667,54.7,9.23333333333333,1,0.0015444,0.01544
"beauregard","20_40",0.00234,1.62,0.215883238671701,1,30.8166666666667,52.3666666666667,16.8166666666667,1,0.003752892,0.07506
"beauregard","40_100",0.002266875,1.70666666666667,0.0850490054811538,3,27.90625,52.375,19.71875,1.25,0.00382044000000001,0.22923
"benndale","0_10",0,1.53,0.246635757280942,1,71.4,18.95,9.65,0.5,0,NA
"benndale","10_20",0,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0,NA
"benndale","20_40",0,1.63,0.215883238671701,1,64.15,20.1,15.75,0,0,NA
"benndale","40_100",0,1.69,0.0173205080756888,3,69.12,17.16,13.72,0.6,0,NA
"bernaldo","0_10",0.114633333333333,1.3509262485482,0.246635757280942,0,62.0666666666667,35.5,2.43333333333333,0,0.154861178958575,1.54861
"bernaldo","10_20",0.0039,1.44,0.210069553241103,1,52.3,42.1,5.6,0,0.005616,0.05616
"bernaldo","20_40",0.030975,1.51,0.0800000000000001,3,56.625,37.875,5.5,0,0.04677225,0.93545
"bernaldo","40_100",0.0954,1.67142857142857,0.0817370930542087,7,41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,0.159226493877551,9.55359
"besner","0_10",0.00195,1.24,0.246635757280942,1,66,31.2,2.8,0,0.002418,0.02418
"besner","10_20",0.000975,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.00142845058830661,0.01428
"besner","20_40",0,1.47,0.014142135623731,2,65.45,31.85,2.7,0,0,NA
"besner","40_100",0,1.688,0.148895936814945,5,61.6,35.62,2.78,0,0,NA
"bethera","0_10",0.11695,1.27,0.246635757280942,1,48.9,54.65,31.7,0,0.1485265,1.48526
"bethera","10_20",0.00078,1.5096443452381,0.210069553241103,0,6.8,51.5,24.3,0,0.00117752258928572,0.01178
"bethera","20_40",0.095195,1.34,0.215883238671701,1,46.1,49.95,38.55,0,0.1275613,2.55123
"bethera","40_100",0.08104,1.74,0.19649269329816,1,15.5666666666667,30.1,53.9,0,0.1410096,8.46058
"betis","0_10",0.036365,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.0478724649132444,0.47872
"betis","10_20",0.036365,1.5096443452381,0.210069553241103,0,90.85,7.35,1.8,0,0.0548982166145835,0.54898
"betis","20_40",0.00078,1.50104635443921,0.215883238671701,0,84.3,13.1,2.6,0,0.00117081615646258,0.02342
"betis","40_100",0.024156,1.72,0.19649269329816,1,86.76,9.2,4.04,0,0.04154832,2.4929
