"","soil_name","horizon","total_c","sand","silt","clay","frag","total_c_soil"
"1","albany","0_10",1.84291,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,1.84188616111111
"2","albany","10_20",1.04945,45.6285714285714,5.97142857142857,2.24285714285714,0,1.04945
"3","albany","20_40",0.93792,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,0.937398933333333
"4","albany","40_100",0.43475,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,0.434421886792453
"5","angelina","0_10",2.10097,30.2,40.5,29.3,0,2.10097
"6","angelina","10_20",1.72763,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.67662793891581
"7","angelina","20_40",2.58882,16.6,42.1,41.3,0,2.58882
"8","angelina","40_100",3.73452,52.5333333333333,22.9666666666667,24.5,0,3.73452
"9","appling","0_10",1.9468,65.0666666666667,21.1333333333333,12.6,4,1.868928
"10","appling","10_20",0.68992,31.175,38.425,15.125,0,0.68992
"11","appling","20_40",0.33115,36.8,20.6,42.6,0,0.33115
"12","appling","40_100",0.04747,42.0181818181818,25.5,32.9090909090909,2.72727272727273,0.0461753636363636
"13","attoyac","0_10",1.5625,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,1.55729166666667
"14","attoyac","10_20",1.36271,72.75,24.25,3,1,1.3490829
"15","attoyac","20_40",2.22496,61.2333333333333,30.45,8.31666666666667,0.333333333333333,2.21754346666667
"16","attoyac","40_100",3.95862,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,3.95142250909091
"17","bernaldo","0_10",3.21533,62.0666666666667,35.5,2.43333333333333,0,3.21533
"18","bernaldo","10_20",1.23013,52.3,42.1,5.6,0,1.23013
"19","bernaldo","20_40",0.65068,56.625,37.875,5.5,0,0.65068
"20","bernaldo","40_100",0.11122,41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,0.111061114285714
"21","besner","0_10",2.2964,66,31.2,2.8,0,2.2964
"22","besner","10_20",0.88514,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.859009425543627
"23","besner","20_40",0.47267,65.45,31.85,2.7,0,0.47267
"24","besner","40_100",0.08221,61.6,35.62,2.78,0,0.08221
"25","betis","0_10",0.95868,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.934209382481442
"26","betis","10_20",0.60834,90.85,7.35,1.8,0,0.60834
"27","betis","20_40",0.63099,84.3,13.1,2.6,0,0.63099
"28","betis","40_100",0.39758,86.76,9.2,4.04,0,0.39758
"29","bibb","0_10",0.00058,70.375,21.9,7.725,0,0.00058
"30","bibb","10_20",0,48.3,37.55,14.05,0,0
"31","bibb","20_40",0,61.52,27.56,10.88,0,0
"32","bibb","40_100",0,76.28,15.69,7.99,0.2,0
"33","blanton","0_10",2.37899,54.0944444444444,6.24736842105263,2.58947368421053,0,2.37899
"34","blanton","10_20",1.43225,64.475,8.375,2.9875,0,1.43225
"35","blanton","20_40",1.38139,51.1769230769231,7.76428571428571,3.35714285714286,0,1.38139
"36","blanton","40_100",0.74794,58.4387755102041,6.66734693877551,2.73877551020408,0,0.74794
"37","bonneau","0_10",4.62477,76.54,11.3454545454545,4.59090909090909,1.81818181818182,4.54068327272727
"38","bonneau","10_20",1.84232,75.9833333333333,8.43333333333333,2.73333333333333,4.16666666666667,1.76555666666667
"39","bonneau","20_40",1.02626,65.4692307692308,11.6076923076923,6.16923076923077,1.46153846153846,1.01126081538462
"40","bonneau","40_100",0.1928,55.8648148148148,9.37592592592593,18.2851851851852,1.18518518518519,0.190514962962963
"41","cahaba","0_10",5.50431,51.35,34.175,14.4666666666667,0,5.50431
"42","cahaba","10_20",2.94768,51.3,31.5,17.2,0,2.94768
"43","cahaba","20_40",2.4239,47.9466666666667,32.9,19.14,0,2.4239
"44","cahaba","40_100",0.95166,46.1545454545455,28.3606060606061,25.469696969697,0,0.95166
"45","cecil","0_10",3.67986,58.4710526315789,21.9894736842105,21.9684210526316,6.13157894736842,3.45422647894737
"46","cecil","10_20",1.63423,53.74,20.095,29.655,5.6,1.54271312
