"soil_name","horizon","bulk_density","bulk_density_sd","n"
"acadia","0_10",1.4,0.246635757280942,1
"acadia","10_20",1.5096443452381,0.210069553241103,0
"acadia","20_40",1.62,0.215883238671701,1
"acadia","40_100",1.81,0.05,3
"albany","0_10",1.6,0.246635757280942,1
"albany","10_20",1.5096443452381,0.210069553241103,0
"albany","20_40",1.69,0.014142135623731,2
"albany","40_100",1.74666666666667,0.0956382071489562,6
"allanton","0_10",1.3509262485482,0.246635757280942,0
"allanton","10_20",1.5096443452381,0.210069553241103,0
"allanton","20_40",1.50104635443921,0.215883238671701,0
"allanton","40_100",1.59451747615447,0.19649269329816,0
"angelina","0_10",1.53,0.246635757280942,1
"angelina","10_20",1.5096443452381,0.210069553241103,0
"angelina","20_40",1.81,0.215883238671701,1
"angelina","40_100",1.69666666666667,0.0550757054728611,3
"appling","0_10",1.3509262485482,0.246635757280942,0
"appling","10_20",1.5096443452381,0.210069553241103,0
"appling","20_40",1.50104635443921,0.215883238671701,0
"appling","40_100",1.31,0.19649269329816,1
"arkana","0_10",1.3509262485482,0.246635757280942,0
"arkana","10_20",1.5096443452381,0.210069553241103,0
"arkana","20_40",1.50104635443921,0.215883238671701,0
"arkana","40_100",1.59451747615447,0.19649269329816,0
"ashe","0_10",1.26,0.246635757280942,1
"ashe","10_20",1.5096443452381,0.210069553241103,0
"ashe","20_40",1.58,0.215883238671701,1
"ashe","40_100",1.79,0.19649269329816,1
"ashlar","0_10",1.3509262485482,0.246635757280942,0
"ashlar","10_20",1.5096443452381,0.210069553241103,0
"ashlar","20_40",1.57,0.215883238671701,1
"ashlar","40_100",1.55,0.19649269329816,1
"attoyac","0_10",1.63,0.226274169979695,2
"attoyac","10_20",1.585,0.134350288425444,2
"attoyac","20_40",1.648,0.122351951353462,5
"attoyac","40_100",1.7775,0.0337003603202442,8
"bayboro","0_10",1.3509262485482,0.246635757280942,0
"bayboro","10_20",1.5096443452381,0.210069553241103,0
"bayboro","20_40",1.50104635443921,0.215883238671701,0
"bayboro","40_100",1.59451747615447,0.19649269329816,0
"beauregard","0_10",1.39,0.246635757280942,1
"beauregard","10_20",1.6,0.210069553241103,1
"beauregard","20_40",1.62,0.215883238671701,1
"beauregard","40_100",1.70666666666667,0.0850490054811538,3
"benndale","0_10",1.53,0.246635757280942,1
"benndale","10_20",1.5096443452381,0.210069553241103,0
"benndale","20_40",1.63,0.215883238671701,1
"benndale","40_100",1.69,0.0173205080756888,3
"bernaldo","0_10",1.3509262485482,0.246635757280942,0
"bernaldo","10_20",1.44,0.210069553241103,1
"bernaldo","20_40",1.51,0.0800000000000001,3
"bernaldo","40_100",1.67142857142857,0.0817370930542087,7
"besner","0_10",1.24,0.246635757280942,1
"besner","10_20",1.5096443452381,0.210069553241103,0
"besner","20_40",1.47,0.014142135623731,2
"besner","40_100",1.688,0.148895936814945,5
"bethera","0_10",1.27,0.246635757280942,1
"bethera","10_20",1.5096443452381,0.210069553241103,0
"bethera","20_40",1.34,0.215883238671701,1
"bethera","40_100",1.74,0.19649269329816,1
"betis","0_10",1.3509262485482,0.246635757280942,0
"betis","10_20",1.5096443452381,0.210069553241103,0
"betis","20_40",1.50104635443921,0.215883238671701,0
"betis","40_100",1.72,0.19649269329816,1
"bibb","0_10",1.3509262485482,0.246635757280942,0
"bibb","10_20",1.5096443452381,0.210069553241103,0
"bibb","20_40",1.14,0.215883238671701,1
"bibb","40_100",1.38,0.127279220613579,2
"blanton","0_10",1.45,0.246635757280942,1
"blanton","10_20",1.5096443452381,0.210069553241103,0
"blanton","20_40",1.50104635443921,0.215883238671701,0
"blanton","40_100",1.57,0.0264575131106459,3
"bonneau","0_10",1.66,0.246635757280942,1
"bonneau","10_20",1.81,0.210069553241103,1
"bonneau","20_40",1.50104635443921,0.215883238671701,0
"bonneau","40_100",1.64,0.0299999999999999,3
"boulogne","0_10",1.3509262485482,0.246635757280942,0
"boulogne","10_20",1.5096443452381,0.210069553241103,0
"boulogne","20_40",1.50104635443921,0.215883238671701,0
"boulogne","40_100",1.59451747615447,0.19649269329816,0
"bude","0_10",1.54,0.127279220613579,2
"bude","10_20",1.5096443452381,0.210069553241103,0
"bude","20_40",1.50104635443921,0.215883238671701,0
"bude","40_100",1.675,0.124766448481419,4
"burton","0_10",0.7225,0.12737739202857,4
"burton","10_20",0.935,0.275771644662753,2
"burton","20_40",1.046,0.114367827643966,5
"burton","40_100",1.27166666666667,0.0847152091815081,6
"caddo","0_10",1.465,0.0494974746830584,2
"caddo","10_20",1.6,0.210069553241103,1
"caddo","20_40",1.685,0.0212132034355964,2
"caddo","40_100",1.7075,0.0713559154286921,4
"cahaba","0_10",1.4,0.0556776436283002,3
"cahaba","10_20",1.37,0.210069553241103,1
"cahaba","20_40",1.47333333333333,0.0757187779440037,3
"cahaba","40_100",1.526,0.0439317652729776,5
"carnasaw","0_10",1.5,0.325269119345812,2
"carnasaw","10_20",1.59,0.0565685424949237,2
"carnasaw","20_40",1.43333333333333,0.155349069303081,3
"carnasaw","40_100",1.55142857142857,0.110064915910047,7
"cartecay","0_10",1.3509262485482,0.246635757280942,0
"cartecay","10_20",1.5096443452381,0.210069553241103,0
"cartecay","20_40",1.50104635443921,0.215883238671701,0
"cartecay","40_100",1.59451747615447,0.19649269329816,0
"cashiers","0_10",1.3509262485482,0.246635757280942,0
"cashiers","10_20",1.5096443452381,0.210069553241103,0
"cashiers","20_40",1.04,0.215883238671701,1
"cashiers","40_100",1.31,0.0989949493661166,2
"cataula","0_10",1.39,0.246635757280942,1
"cataula","10_20",1.72,0.210069553241103,1
"cataula","20_40",1.51,0.215883238671701,1
"cataula","40_100",1.505,0.120208152801713,2
"cecil","0_10",1.58571428571429,0.13226956602045,7
"cecil","10_20",1.64666666666667,0.102143689640297,3
"cecil","20_40",1.59083333333333,0.124568953766275,12
"cecil","40_100",1.498,0.097689087900015,20
"chandler","0_10",1.3509262485482,0.246635757280942,0
"chandler","10_20",1.62,0.210069553241103,1
"chandler","20_40",1.50104635443921,0.215883238671701,0
"chandler","40_100",2.07666666666667,0.271538824725551,3
"chestnut","0_10",1.3509262485482,0.246635757280942,0
"chestnut","10_20",1.5096443452381,0.210069553241103,0
