"soil_name","horizon","sand","silt","clay","frag","bulk_density","bulk_density_sd","n","p_per","p_g_m2","total_p_horizon"
"acadia","0_10",58.5,36.4,5.1,2,1.4,0.246635757280942,1,NA,NA,NA
"acadia","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"acadia","20_40",40.9,37.5,21.6,2,1.62,0.215883238671701,1,NA,NA,NA
"acadia","40_100",35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,1.81,0.05,3,NA,NA,NA
"albany","0_10",46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,1.6,0.246635757280942,1,25.2,40.2976,402.976
"albany","10_20",45.6285714285714,5.97142857142857,2.24285714285714,0,1.5096443452381,0.210069553241103,0,23.55,35.5521243303573,355.52124
"albany","20_40",57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,1.69,0.014142135623731,2,21.9,36.9904383333333,739.80877
"albany","40_100",53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,1.74666666666667,0.0956382071489562,6,7.41666666666667,12.9446675052411,776.68005
"allanton","0_10",21.2,6.2,7.8,0,1.3509262485482,0.246635757280942,0,NA,NA,NA
"allanton","10_20",95.2,6.5,2,0,1.5096443452381,0.210069553241103,0,NA,NA,NA
"allanton","20_40",17.25,8.15,3.05,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
"allanton","40_100",68.1,7,2.68,0,1.59451747615447,0.19649269329816,0,NA,NA,NA
"angelina","0_10",30.2,40.5,29.3,0,1.53,0.246635757280942,1,NA,NA,NA
"angelina","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.5096443452381,0.210069553241103,0,NA,NA,NA
"angelina","20_40",16.6,42.1,41.3,0,1.81,0.215883238671701,1,NA,NA,NA
"angelina","40_100",52.5333333333333,22.9666666666667,24.5,0,1.69666666666667,0.0550757054728611,3,NA,NA,NA
"appling","0_10",65.0666666666667,21.1333333333333,12.6,4,1.3509262485482,0.246635757280942,0,NA,NA,NA
"appling","10_20",31.175,38.425,15.125,0,1.5096443452381,0.210069553241103,0,NA,NA,NA
"appling","20_40",36.8,20.6,42.6,0,1.50104635443921,0.215883238671701,0,NA,NA,NA
