"soil_name","horizon","sand","silt","clay","frag"
"acadia","0_10",58.5,36.4,5.1,2
"acadia","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"acadia","20_40",40.9,37.5,21.6,2
"acadia","40_100",35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667
"albany","0_10",46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556
"albany","10_20",45.6285714285714,5.97142857142857,2.24285714285714,0
"albany","20_40",57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556
"albany","40_100",53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075
"allanton","0_10",21.2,6.2,7.8,0
"allanton","10_20",95.2,6.5,2,0
"allanton","20_40",17.25,8.15,3.05,0
"allanton","40_100",68.1,7,2.68,0
"angelina","0_10",30.2,40.5,29.3,0
"angelina","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"angelina","20_40",16.6,42.1,41.3,0
"angelina","40_100",52.5333333333333,22.9666666666667,24.5,0
"appling","0_10",65.0666666666667,21.1333333333333,12.6,4
"appling","10_20",31.175,38.425,15.125,0
"appling","20_40",36.8,20.6,42.6,0
"appling","40_100",42.0181818181818,25.5,32.9090909090909,2.72727272727273
"arkana","0_10",26.26875,54.1375,19.6,0
"arkana","10_20",26.5285714285714,49.4571428571429,24.0142857142857,0
"arkana","20_40",19.9578947368421,39.3421052631579,40.6947368421053,0
"arkana","40_100",11.5108108108108,26.2378378378378,62.2378378378378,0
"ashe","0_10",48.7666666666667,35.2333333333333,16,6.33333333333333
"ashe","10_20",49.2,36.75,14.05,2
"ashe","20_40",63.5,22.7,13.8,1
"ashe","40_100",59.06,27.64,13.3,8
"ashlar","0_10",48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966
"ashlar","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"ashlar","20_40",74.2,20.1,5.7,14
"ashlar","40_100",75.2,19.4,5.4,30
"attoyac","0_10",64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333
"attoyac","10_20",72.75,24.25,3,1
"attoyac","20_40",61.2333333333333,30.45,8.31666666666667,0.333333333333333
"attoyac","40_100",49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182
"bayboro","0_10",44.8,20.4,34.8,0
"bayboro","10_20",36,31.2666666666667,32.7333333333333,0
"bayboro","20_40",31.95,32.85,35.2,0
"bayboro","40_100",26.6666666666667,24.5,48.8333333333333,0
"beauregard","0_10",39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667
"beauregard","10_20",36.0666666666667,54.7,9.23333333333333,1
"beauregard","20_40",30.8166666666667,52.3666666666667,16.8166666666667,1
"beauregard","40_100",27.90625,52.375,19.71875,1.25
"benndale","0_10",71.4,18.95,9.65,0.5
"benndale","10_20",46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"benndale","20_40",64.15,20.1,15.75,0
"benndale","40_100",69.12,17.16,13.72,0.6
"bernaldo","0_10",62.0666666666667,35.5,2.43333333333333,0
"bernaldo","10_20",52.3,42.1,5.6,0
"bernaldo","20_40",56.625,37.875,5.5,0
"bernaldo","40_100",41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143
"besner","0_10",66,31.2,2.8,0
