"soil_name","horizon","mg_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","mg_g_m2","total_mg_horizon"
"wilkes","0_10",NA,1.3509262485482,0.246635757280942,NA,70.8,23.9,5.3,NA,NA,NA
"wilkes","10_20",NA,1.5096443452381,0.210069553241103,NA,72.4,23.4,4.2,NA,NA,NA
"wilkes","20_40",NA,1.50104635443921,0.215883238671701,NA,48.7,22.9,28.4,NA,NA,NA
"wilkes","40_100",0.04488,1.59451747615447,0.19649269329816,NA,81.2,9.9,8.9,5,6.7983847113322e-06,0.00041
"woden","0_10",0.0021,1.3509262485482,0.246635757280942,NA,73.35,23.625,3.025,NA,2.83694512195122e-07,0
"woden","10_20",0.0018,1.5096443452381,0.210069553241103,NA,67.55,28.2,4.25,NA,2.71735982142858e-07,0
"woden","20_40",0.003,1.50104635443921,0.215883238671701,NA,65.1,28.75,6.15,NA,4.50313906331763e-07,1e-05
"woden","40_100",0.01005,1.59451747615447,0.19649269329816,NA,59.85,25.3125,14.8375,NA,1.60249006353524e-06,1e-04
"wrightsville","0_10",0.185408888888889,1.42666666666667,0.11060440015358,3,18.3555555555556,59.0555555555556,22.5888888888889,1.44444444444444,2.60695884971194e-05,0.00026
"wrightsville","10_20",0.0355371428571429,1.67,0.210069553241103,1,15.5428571428571,58,26.4571428571429,0.142857142857143,5.92622471020408e-06,6e-05
"wrightsville","20_40",0.186466666666667,1.598,0.0807465169527454,5,17.7111111111111,56.0666666666667,26.2222222222222,0.222222222222222,2.97311569481482e-05,0.00059
"wrightsville","40_100",0.362872592592593,1.78454545454545,0.0951171526448975,11,11.9222222222222,45.3555555555556,42.7222222222222,NA,6.47562635690234e-05,0.00389
